Index,L1,L2
7498,T cell,Treg
7499,Progenitor cells,GMP
7500,NK,NK
7501,Mono/DC,CD14 Mono
7502,Mono/DC,CD14 Mono
7503,T cell,CD8 Memory_1
7504,Mono/DC,CD14 Mono
7505,T cell,CD8 Naive
7506,T cell,CD4 Naive
7507,T cell,CD8 Naive
7508,Mono/DC,CD14 Mono
7509,T cell,CD4 Memory
7510,B cell,Naive B
7511,T cell,CD4 Naive
7512,Mono/DC,CD14 Mono
7513,T cell,CD4 Naive
7514,NK,NK
7515,NK,NK
7516,Mono/DC,CD14 Mono
7517,T cell,CD4 Naive
7518,T cell,CD4 Naive
7519,Mono/DC,CD14 Mono
7520,Progenitor cells,Prog_B 1
7521,NK,NK
7522,T cell,MAIT
7523,T cell,CD4 Memory
7524,Mono/DC,CD14 Mono
7525,T cell,CD4 Naive
7526,Progenitor cells,LMPP
7527,T cell,CD8 Naive
7528,T cell,Treg
7529,T cell,CD4 Naive
7530,T cell,CD8 Memory_2
7531,T cell,Treg
7532,B cell,Memory B
7533,T cell,CD8 Effector_1
7534,Progenitor cells,Prog_RBC
7535,T cell,CD4 Memory
7536,Progenitor cells,Prog_B 1
7537,T cell,CD8 Naive
7538,Mono/DC,CD14 Mono
7539,Mono/DC,CD14 Mono
7540,Mono/DC,CD14 Mono
7541,T cell,MAIT
7542,T cell,gdT
7543,T cell,CD4 Naive
7544,Progenitor cells,Prog_RBC
7545,T cell,CD8 Naive
7546,Progenitor cells,HSC
7547,T cell,CD8 Naive
7548,T cell,CD4 Naive
7549,T cell,CD8 Memory_2
7550,Mono/DC,CD14 Mono
7551,Mono/DC,pDC
7552,T cell,CD8 Naive
7553,Mono/DC,CD16 Mono
7554,T cell,CD4 Naive
7555,Mono/DC,CD14 Mono
7556,T cell,CD4 Naive
7557,B cell,Naive B
7558,Progenitor cells,Prog_RBC
7559,T cell,CD4 Memory
7560,T cell,CD8 Memory_2
7561,Progenitor cells,HSC
7562,T cell,CD4 Memory
7563,Progenitor cells,Prog_RBC
7564,NK,NK
7565,T cell,CD4 Naive
7566,NK,NK
7567,Progenitor cells,Prog_RBC
7568,T cell,CD8 Naive
7569,Progenitor cells,Prog_RBC
7570,T cell,CD8 Memory_1
7571,T cell,CD4 Naive
7572,Mono/DC,CD14 Mono
7573,B cell,Memory B
7574,T cell,CD8 Naive
7575,T cell,CD8 Naive
7576,Mono/DC,CD14 Mono
7577,T cell,CD4 Naive
7578,Mono/DC,CD14 Mono
7579,B cell,Memory B
7580,T cell,CD4 Memory
7581,Mono/DC,CD14 Mono
7582,T cell,CD4 Naive
7583,T cell,Treg
7584,NK,NK
7585,T cell,CD8 Naive
7586,T cell,Treg
7587,Mono/DC,CD16 Mono
7588,Mono/DC,CD14 Mono
7589,T cell,CD8 Naive
7590,Mono/DC,CD14 Mono
7591,Mono/DC,CD14 Mono
7592,B cell,Naive B
7593,T cell,CD8 Naive
7594,Progenitor cells,GMP
7595,T cell,CD4 Naive
7596,Mono/DC,CD14 Mono
7597,T cell,CD8 Memory_1
7598,Mono/DC,CD14 Mono
7599,Mono/DC,CD14 Mono
7600,Progenitor cells,Prog_RBC
7601,T cell,CD8 Naive
7602,T cell,CD4 Naive
7603,Mono/DC,CD14 Mono
7604,T cell,gdT
7605,Mono/DC,CD14 Mono
7606,T cell,CD8 Naive
7607,Progenitor cells,Prog_DC
7608,T cell,CD8 Effector_2
7609,T cell,CD4 Memory
7610,T cell,CD4 Naive
7611,Mono/DC,CD14 Mono
7612,Mono/DC,CD14 Mono
7613,Progenitor cells,Prog_DC
7614,T cell,CD4 Naive
7615,B cell,Naive B
7616,T cell,CD4 Memory
7617,T cell,CD4 Memory
7618,T cell,CD8 Effector_1
7619,T cell,CD4 Memory
7620,Mono/DC,CD14 Mono
7621,Mono/DC,CD14 Mono
7622,Progenitor cells,Prog_RBC
7623,B cell,Plasmablast
7624,Mono/DC,CD14 Mono
7625,T cell,CD4 Memory
7626,Mono/DC,CD14 Mono
7627,T cell,CD4 Memory
7628,T cell,CD4 Naive
7629,NK,NK
7630,Progenitor cells,Prog_RBC
7631,T cell,CD8 Naive
7632,B cell,Plasmablast
7633,T cell,CD4 Memory
7634,T cell,CD4 Naive
7635,Mono/DC,CD14 Mono
7636,B cell,Naive B
7637,T cell,CD4 Naive
7638,Progenitor cells,Prog_DC
7639,T cell,CD4 Memory
7640,Progenitor cells,HSC
7641,Mono/DC,CD14 Mono
7642,Mono/DC,cDC2
7643,T cell,CD8 Memory_1
7644,T cell,CD8 Naive
7645,B cell,Memory B
7646,T cell,CD4 Memory
7647,Mono/DC,pDC
7648,T cell,CD4 Memory
7649,Mono/DC,CD14 Mono
7650,Mono/DC,cDC2
7651,T cell,CD4 Memory
7652,B cell,Plasmablast
7653,Progenitor cells,Prog_DC
7654,T cell,CD4 Memory
7655,Progenitor cells,GMP
7656,Mono/DC,CD16 Mono
7657,T cell,CD8 Naive
7658,T cell,gdT
7659,Mono/DC,CD16 Mono
7660,Progenitor cells,GMP
7661,B cell,Memory B
7662,Mono/DC,CD14 Mono
7663,T cell,CD4 Memory
7664,Progenitor cells,Prog_B 2
7665,Mono/DC,CD14 Mono
7666,Mono/DC,CD14 Mono
7667,Progenitor cells,Prog_DC
7668,T cell,CD8 Naive
7669,T cell,CD8 Memory_2
7670,T cell,MAIT
7671,T cell,gdT
7672,NK,NK
7673,T cell,CD8 Naive
7674,T cell,CD4 Naive
7675,T cell,CD4 Memory
7676,B cell,Memory B
7677,Mono/DC,pDC
7678,T cell,CD4 Naive
7679,T cell,CD8 Memory_2
7680,T cell,CD8 Naive
7681,T cell,gdT
7682,T cell,CD4 Naive
7683,Mono/DC,CD14 Mono
7684,T cell,CD8 Naive
7685,T cell,CD8 Memory_1
7686,T cell,CD8 Naive
7687,T cell,CD8 Naive
7688,Progenitor cells,Prog_RBC
7689,Progenitor cells,Prog_B 1
7690,T cell,CD4 Naive
7691,T cell,CD4 Memory
7692,NK,NK
7693,T cell,MAIT
7694,T cell,CD8 Effector_1
7695,Progenitor cells,LMPP
7696,B cell,Naive B
7697,T cell,CD4 Naive
7698,T cell,CD8 Naive
7699,T cell,CD8 Naive
7700,T cell,CD8 Effector_1
7701,Mono/DC,CD14 Mono
7702,Mono/DC,CD14 Mono
7703,Mono/DC,CD14 Mono
7704,Progenitor cells,Prog_RBC
7705,Progenitor cells,Prog_RBC
7706,B cell,Memory B
7707,T cell,CD8 Naive
7708,NK,NK
7709,T cell,CD8 Naive
7710,T cell,CD4 Memory
7711,T cell,CD4 Memory
7712,T cell,CD4 Memory
7713,Progenitor cells,Prog_RBC
7714,T cell,CD8 Naive
7715,B cell,Memory B
7716,T cell,CD4 Naive
7717,T cell,CD4 Memory
7718,T cell,CD4 Naive
7719,Progenitor cells,Prog_DC
7720,NK,CD56 bright NK
7721,Mono/DC,CD14 Mono
7722,Progenitor cells,GMP
7723,Mono/DC,CD14 Mono
7724,Progenitor cells,GMP
7725,B cell,Memory B
7726,T cell,CD8 Naive
7727,T cell,CD8 Effector_1
7728,Mono/DC,CD14 Mono
7729,T cell,CD4 Memory
7730,Progenitor cells,Prog_DC
7731,T cell,CD4 Memory
7732,T cell,CD4 Naive
7733,T cell,CD4 Naive
7734,T cell,CD4 Memory
7735,Mono/DC,CD14 Mono
7736,B cell,Memory B
7737,T cell,CD8 Naive
7738,T cell,CD4 Memory
7739,B cell,Naive B
7740,Mono/DC,CD16 Mono
7741,Progenitor cells,Prog_RBC
7742,T cell,CD4 Memory
7743,T cell,CD4 Naive
7744,T cell,CD8 Naive
7745,Mono/DC,CD14 Mono
7746,NK,NK
7747,T cell,CD8 Naive
7748,T cell,CD8 Naive
7749,Mono/DC,CD16 Mono
7750,T cell,CD4 Memory
7751,T cell,CD8 Naive
7752,B cell,Memory B
7753,T cell,MAIT
7754,Mono/DC,CD14 Mono
7755,Mono/DC,CD14 Mono
7756,T cell,Treg
7757,Progenitor cells,HSC
7758,Mono/DC,CD14 Mono
7759,Mono/DC,CD14 Mono
7760,Mono/DC,CD14 Mono
7761,T cell,CD4 Naive
7762,T cell,CD4 Naive
7763,T cell,CD4 Naive
7764,T cell,CD4 Naive
7765,Progenitor cells,GMP
7766,Progenitor cells,Prog_RBC
7767,T cell,CD4 Naive
7768,Mono/DC,CD14 Mono
7769,Progenitor cells,Prog_RBC
7770,T cell,CD8 Naive
7771,B cell,Memory B
7772,T cell,CD4 Memory
7773,T cell,CD4 Naive
7774,Progenitor cells,LMPP
7775,Progenitor cells,Prog_B 2
7776,NK,NK
7777,T cell,CD8 Effector_2
7778,T cell,CD8 Naive
7779,T cell,CD8 Naive
7780,T cell,CD4 Memory
7781,Mono/DC,CD14 Mono
7782,Mono/DC,CD14 Mono
7783,T cell,CD4 Naive
7784,Mono/DC,CD14 Mono
7785,T cell,CD4 Memory
7786,T cell,CD4 Memory
7787,B cell,Naive B
7788,Mono/DC,CD14 Mono
7789,T cell,CD4 Naive
7790,Progenitor cells,GMP
7791,T cell,CD8 Naive
7792,T cell,CD8 Memory_2
7793,Mono/DC,CD14 Mono
7794,T cell,CD8 Naive
7795,Progenitor cells,Prog_RBC
7796,Mono/DC,CD14 Mono
7797,T cell,CD4 Naive
7798,Mono/DC,CD14 Mono
7799,Progenitor cells,GMP
7800,T cell,CD8 Effector_1
7801,Progenitor cells,LMPP
7802,Mono/DC,CD14 Mono
7803,Mono/DC,CD14 Mono
7804,T cell,CD8 Naive
7805,Progenitor cells,Prog_B 1
7806,T cell,CD4 Naive
7807,T cell,CD4 Memory
7808,Mono/DC,CD14 Mono
7809,Progenitor cells,Prog_RBC
7810,T cell,CD4 Naive
7811,Progenitor cells,Prog_B 1
7812,Mono/DC,CD14 Mono
7813,T cell,CD4 Naive
7814,T cell,CD4 Naive
7815,T cell,CD4 Memory
7816,Progenitor cells,GMP
7817,B cell,Memory B
7818,T cell,CD4 Memory
7819,Mono/DC,cDC2
7820,T cell,CD8 Memory_1
7821,Mono/DC,cDC2
7822,T cell,CD8 Memory_2
7823,B cell,Memory B
7824,B cell,Naive B
7825,T cell,CD4 Memory
7826,Progenitor cells,Prog_B 1
7827,Mono/DC,CD14 Mono
7828,B cell,Naive B
7829,Mono/DC,CD14 Mono
7830,B cell,Plasmablast
7831,T cell,CD8 Memory_1
7832,T cell,CD4 Naive
7833,T cell,CD8 Memory_2
7834,T cell,CD8 Naive
7835,T cell,CD8 Memory_2
7836,T cell,CD8 Effector_2
7837,Mono/DC,CD14 Mono
7838,Progenitor cells,Prog_RBC
7839,T cell,CD4 Naive
7840,Mono/DC,CD14 Mono
7841,T cell,CD8 Effector_1
7842,T cell,Treg
7843,T cell,CD4 Memory
7844,Progenitor cells,Prog_DC
7845,T cell,CD8 Naive
7846,Progenitor cells,Prog_RBC
7847,B cell,Plasmablast
7848,T cell,CD8 Naive
7849,Mono/DC,CD14 Mono
7850,Mono/DC,CD14 Mono
7851,T cell,CD4 Naive
7852,Mono/DC,CD14 Mono
7853,T cell,CD4 Memory
7854,Mono/DC,CD14 Mono
7855,T cell,CD8 Naive
7856,Mono/DC,CD16 Mono
7857,T cell,MAIT
7858,B cell,Memory B
7859,T cell,CD8 Naive
7860,T cell,CD4 Memory
7861,Progenitor cells,HSC
7862,T cell,Treg
7863,B cell,Memory B
7864,Mono/DC,CD14 Mono
7865,T cell,CD8 Naive
7866,Mono/DC,pDC
7867,B cell,Memory B
7868,T cell,CD4 Memory
7869,T cell,CD4 Memory
7870,Progenitor cells,Prog_RBC
7871,Mono/DC,CD14 Mono
7872,B cell,Memory B
7873,NK,NK
7874,B cell,Plasmablast
7875,Progenitor cells,Prog_RBC
7876,T cell,CD4 Memory
7877,T cell,CD4 Naive
7878,T cell,CD8 Effector_1
7879,T cell,CD4 Naive
7880,NK,NK
7881,Mono/DC,CD14 Mono
7882,T cell,CD4 Naive
7883,B cell,Naive B
7884,T cell,CD4 Naive
7885,T cell,CD8 Memory_1
7886,T cell,CD8 Effector_1
7887,Progenitor cells,GMP
7888,Mono/DC,CD14 Mono
7889,T cell,CD8 Effector_1
7890,T cell,CD4 Naive
7891,T cell,CD8 Memory_2
7892,Mono/DC,CD16 Mono
7893,T cell,CD8 Naive
7894,T cell,CD8 Effector_1
7895,Progenitor cells,GMP
7896,B cell,Naive B
7897,Mono/DC,pDC
7898,T cell,CD4 Memory
7899,Mono/DC,pDC
7900,T cell,CD8 Naive
7901,T cell,MAIT
7902,Progenitor cells,GMP
7903,T cell,CD4 Naive
7904,Mono/DC,CD14 Mono
7905,Mono/DC,CD14 Mono
7906,T cell,CD4 Naive
7907,T cell,CD8 Naive
7908,Mono/DC,CD14 Mono
7909,T cell,CD8 Naive
7910,T cell,CD8 Effector_1
7911,Mono/DC,CD14 Mono
7912,B cell,Naive B
7913,Progenitor cells,Prog_Mk
7914,T cell,CD8 Naive
7915,Mono/DC,CD16 Mono
7916,B cell,Naive B
7917,T cell,CD8 Naive
7918,Mono/DC,CD14 Mono
7919,Mono/DC,CD14 Mono
7920,Mono/DC,CD14 Mono
7921,T cell,CD4 Naive
7922,Progenitor cells,Prog_B 1
7923,Progenitor cells,Prog_RBC
7924,Mono/DC,CD14 Mono
7925,T cell,CD8 Memory_1
7926,Progenitor cells,GMP
7927,B cell,Memory B
7928,B cell,Naive B
7929,T cell,CD8 Naive
7930,B cell,Naive B
7931,T cell,CD4 Naive
7932,T cell,CD8 Naive
7933,Mono/DC,CD14 Mono
7934,T cell,CD8 Effector_1
7935,Progenitor cells,GMP
7936,Progenitor cells,Prog_RBC
7937,Progenitor cells,LMPP
7938,B cell,Memory B
7939,Mono/DC,CD16 Mono
7940,T cell,CD4 Naive
7941,T cell,CD4 Memory
7942,T cell,CD8 Naive
7943,T cell,CD4 Naive
7944,T cell,CD4 Naive
7945,T cell,CD8 Effector_1
7946,T cell,CD4 Naive
7947,T cell,CD4 Memory
7948,Mono/DC,CD14 Mono
7949,T cell,CD4 Naive
7950,T cell,CD4 Memory
7951,B cell,Naive B
7952,Mono/DC,CD14 Mono
7953,T cell,CD8 Effector_1
7954,B cell,Naive B
7955,T cell,CD4 Memory
7956,Progenitor cells,Prog_DC
7957,T cell,CD8 Naive
7958,T cell,CD4 Naive
7959,NK,NK
7960,T cell,CD8 Naive
7961,Mono/DC,CD14 Mono
7962,T cell,CD8 Naive
7963,Progenitor cells,Prog_DC
7964,T cell,CD8 Naive
7965,T cell,CD8 Memory_2
7966,T cell,CD8 Naive
7967,Mono/DC,cDC2
7968,Progenitor cells,Prog_Mk
7969,T cell,CD4 Memory
7970,T cell,CD4 Memory
7971,Mono/DC,CD14 Mono
7972,Mono/DC,CD14 Mono
7973,T cell,CD8 Effector_2
7974,Progenitor cells,LMPP
7975,Mono/DC,CD14 Mono
7976,Progenitor cells,Prog_RBC
7977,Mono/DC,CD14 Mono
7978,NK,NK
7979,T cell,CD4 Naive
7980,T cell,CD8 Naive
7981,T cell,CD4 Memory
7982,Mono/DC,CD14 Mono
7983,Mono/DC,CD16 Mono
7984,Progenitor cells,Prog_DC
7985,T cell,CD8 Naive
7986,T cell,CD4 Naive
7987,Progenitor cells,Prog_B 1
7988,T cell,CD8 Memory_2
7989,Mono/DC,CD14 Mono
7990,B cell,Memory B
7991,B cell,Memory B
7992,T cell,CD8 Naive
7993,T cell,CD4 Naive
7994,Mono/DC,cDC2
7995,T cell,CD4 Naive
7996,T cell,CD8 Naive
7997,T cell,CD4 Memory
7998,Mono/DC,CD14 Mono
7999,Mono/DC,CD14 Mono
8000,T cell,CD4 Naive
8001,T cell,CD4 Memory
8002,NK,NK
8003,T cell,MAIT
8004,Mono/DC,CD14 Mono
8005,T cell,CD4 Naive
8006,B cell,Memory B
8007,T cell,Treg
8008,Mono/DC,cDC2
8009,T cell,CD4 Naive
8010,Mono/DC,CD14 Mono
8011,Mono/DC,CD14 Mono
8012,Mono/DC,CD14 Mono
8013,T cell,CD4 Naive
8014,Progenitor cells,Prog_RBC
8015,Mono/DC,CD14 Mono
8016,Progenitor cells,LMPP
8017,Mono/DC,CD14 Mono
8018,T cell,CD8 Naive
8019,T cell,CD4 Naive
8020,NK,NK
8021,T cell,CD4 Memory
8022,B cell,Memory B
8023,T cell,CD4 Naive
8024,Mono/DC,CD14 Mono
8025,T cell,CD4 Naive
8026,T cell,CD8 Effector_2
8027,B cell,Naive B
8028,Mono/DC,CD14 Mono
8029,Progenitor cells,Prog_RBC
8030,T cell,CD8 Naive
8031,Progenitor cells,GMP
8032,T cell,CD4 Memory
8033,Mono/DC,CD14 Mono
8034,Progenitor cells,Prog_RBC
8035,B cell,Plasmablast
8036,Mono/DC,CD14 Mono
8037,Progenitor cells,GMP
8038,Mono/DC,CD14 Mono
8039,Mono/DC,CD14 Mono
8040,Mono/DC,CD16 Mono
8041,T cell,Treg
8042,T cell,CD4 Memory
8043,Mono/DC,CD14 Mono
8044,Mono/DC,CD14 Mono
8045,Mono/DC,CD14 Mono
8046,T cell,CD4 Memory
8047,Progenitor cells,Prog_RBC
8048,Mono/DC,CD14 Mono
8049,T cell,CD8 Naive
8050,T cell,CD4 Memory
8051,Mono/DC,CD14 Mono
8052,Progenitor cells,Prog_Mk
8053,T cell,CD8 Naive
8054,T cell,gdT
8055,Mono/DC,CD14 Mono
8056,Mono/DC,CD14 Mono
8057,T cell,CD8 Naive
8058,T cell,CD8 Naive
8059,B cell,Memory B
8060,B cell,Naive B
8061,T cell,CD8 Memory_1
8062,Mono/DC,CD14 Mono
8063,Mono/DC,CD14 Mono
8064,B cell,Naive B
8065,Mono/DC,CD14 Mono
8066,T cell,CD8 Naive
8067,T cell,CD4 Naive
8068,Mono/DC,CD14 Mono
8069,T cell,CD8 Naive
8070,Mono/DC,cDC2
8071,Mono/DC,CD14 Mono
8072,Progenitor cells,HSC
8073,T cell,CD4 Memory
8074,T cell,CD4 Memory
8075,Mono/DC,CD14 Mono
8076,T cell,CD8 Effector_1
8077,T cell,CD8 Effector_1
8078,NK,NK
8079,Mono/DC,CD14 Mono
8080,T cell,CD8 Memory_2
8081,Progenitor cells,GMP
8082,T cell,CD4 Memory
8083,NK,NK
8084,Mono/DC,CD14 Mono
8085,T cell,CD4 Naive
8086,B cell,Naive B
8087,T cell,CD8 Naive
8088,T cell,CD8 Naive
8089,T cell,MAIT
8090,T cell,CD8 Naive
8091,T cell,CD8 Effector_1
8092,Mono/DC,CD14 Mono
8093,B cell,Naive B
8094,Mono/DC,CD14 Mono
8095,T cell,CD4 Naive
8096,T cell,CD4 Naive
8097,Mono/DC,CD14 Mono
8098,T cell,CD4 Naive
8099,Mono/DC,CD14 Mono
8100,NK,NK
8101,Progenitor cells,Prog_RBC
8102,T cell,CD8 Naive
8103,T cell,CD4 Naive
8104,T cell,CD8 Effector_1
8105,T cell,CD4 Memory
8106,T cell,CD4 Memory
8107,T cell,MAIT
8108,T cell,CD8 Effector_1
8109,T cell,CD4 Naive
8110,Progenitor cells,Prog_RBC
8111,T cell,CD8 Naive
8112,T cell,CD4 Naive
8113,Mono/DC,pDC
8114,Progenitor cells,Prog_RBC
8115,T cell,CD4 Naive
8116,Mono/DC,CD14 Mono
8117,Mono/DC,CD16 Mono
8118,NK,NK
8119,Mono/DC,CD14 Mono
8120,B cell,Plasmablast
8121,T cell,CD4 Naive
8122,Mono/DC,CD14 Mono
8123,B cell,Plasmablast
8124,Mono/DC,CD14 Mono
8125,T cell,CD8 Effector_1
8126,T cell,CD8 Naive
8127,Progenitor cells,GMP
8128,Progenitor cells,Prog_B 2
8129,T cell,CD8 Naive
8130,Mono/DC,CD14 Mono
8131,T cell,CD4 Naive
8132,T cell,CD8 Naive
8133,T cell,CD4 Naive
8134,T cell,CD4 Naive
8135,Mono/DC,CD14 Mono
8136,T cell,CD4 Memory
8137,T cell,CD4 Naive
8138,Mono/DC,CD14 Mono
8139,NK,NK
8140,T cell,CD8 Naive
8141,T cell,CD4 Memory
8142,T cell,CD4 Memory
8143,Mono/DC,CD14 Mono
8144,Mono/DC,CD14 Mono
8145,T cell,CD8 Effector_2
8146,B cell,Memory B
8147,Mono/DC,CD14 Mono
8148,T cell,CD8 Naive
8149,Mono/DC,CD14 Mono
8150,T cell,CD4 Naive
8151,T cell,CD8 Naive
8152,T cell,CD4 Naive
8153,NK,NK
8154,T cell,CD8 Naive
8155,Mono/DC,cDC2
8156,Progenitor cells,Prog_RBC
8157,Progenitor cells,GMP
8158,NK,NK
8159,Mono/DC,CD14 Mono
8160,T cell,CD4 Naive
8161,Progenitor cells,LMPP
8162,T cell,CD8 Naive
8163,Progenitor cells,GMP
8164,B cell,Naive B
8165,Progenitor cells,Prog_RBC
8166,Progenitor cells,Prog_DC
8167,T cell,CD8 Naive
8168,B cell,Naive B
8169,T cell,CD4 Memory
8170,T cell,CD4 Naive
8171,T cell,CD8 Naive
8172,T cell,CD8 Naive
8173,B cell,Naive B
8174,T cell,CD4 Naive
8175,T cell,CD4 Naive
8176,Progenitor cells,Prog_B 1
8177,T cell,CD4 Naive
8178,NK,NK
8179,Mono/DC,CD14 Mono
8180,Mono/DC,CD14 Mono
8181,Mono/DC,CD14 Mono
8182,T cell,CD4 Naive
8183,Mono/DC,cDC2
8184,T cell,CD8 Naive
8185,T cell,CD8 Naive
8186,T cell,CD8 Memory_2
8187,T cell,CD8 Naive
8188,T cell,CD4 Naive
8189,Mono/DC,CD14 Mono
8190,Mono/DC,CD14 Mono
8191,B cell,Plasmablast
8192,T cell,CD4 Naive
8193,T cell,CD4 Naive
8194,T cell,CD8 Naive
8195,T cell,CD4 Naive
8196,T cell,CD4 Memory
8197,Progenitor cells,Prog_RBC
8198,Mono/DC,CD14 Mono
8199,T cell,CD8 Naive
8200,B cell,Memory B
8201,Progenitor cells,Prog_RBC
8202,T cell,CD4 Naive
8203,Mono/DC,CD16 Mono
8204,B cell,Naive B
8205,Mono/DC,CD14 Mono
8206,T cell,CD8 Naive
8207,Mono/DC,CD14 Mono
8208,Progenitor cells,LMPP
8209,T cell,CD8 Naive
8210,Progenitor cells,HSC
8211,T cell,CD4 Naive
8212,B cell,Naive B
8213,Mono/DC,CD14 Mono
8214,B cell,Naive B
8215,Mono/DC,cDC2
8216,T cell,CD4 Naive
8217,Progenitor cells,Prog_RBC
8218,Mono/DC,CD14 Mono
8219,T cell,CD8 Naive
8220,T cell,CD8 Naive
8221,B cell,Memory B
8222,Progenitor cells,Prog_B 2
8223,T cell,MAIT
8224,NK,CD56 bright NK
8225,B cell,Naive B
8226,T cell,CD4 Naive
8227,T cell,CD4 Naive
8228,B cell,Naive B
8229,Mono/DC,CD14 Mono
8230,T cell,CD4 Naive
8231,T cell,CD4 Memory
8232,Mono/DC,CD14 Mono
8233,B cell,Naive B
8234,T cell,CD8 Effector_1
8235,T cell,CD8 Naive
8236,T cell,CD4 Memory
8237,T cell,CD8 Naive
8238,T cell,CD4 Memory
8239,B cell,Memory B
8240,B cell,Memory B
8241,NK,NK
8242,T cell,CD4 Naive
8243,T cell,CD4 Naive
8244,T cell,CD4 Naive
8245,T cell,CD4 Memory
8246,Mono/DC,CD14 Mono
8247,Mono/DC,CD14 Mono
8248,T cell,Treg
8249,B cell,Memory B
8250,B cell,Naive B
8251,B cell,Naive B
8252,Mono/DC,CD14 Mono
8253,Progenitor cells,Prog_RBC
8254,T cell,CD4 Memory
8255,T cell,CD8 Naive
8256,B cell,Plasmablast
8257,T cell,MAIT
8258,T cell,CD8 Naive
8259,NK,NK
8260,Mono/DC,CD16 Mono
8261,T cell,CD8 Naive
8262,T cell,CD4 Naive
8263,T cell,CD4 Naive
8264,Progenitor cells,GMP
8265,Mono/DC,cDC2
8266,Progenitor cells,LMPP
8267,Mono/DC,CD14 Mono
8268,Progenitor cells,HSC
8269,T cell,CD8 Memory_1
8270,Progenitor cells,LMPP
8271,B cell,Memory B
8272,Mono/DC,CD14 Mono
8273,Mono/DC,CD14 Mono
8274,NK,NK
8275,T cell,CD8 Naive
8276,T cell,CD8 Effector_1
8277,B cell,Memory B
8278,T cell,CD4 Memory
8279,B cell,Naive B
8280,T cell,CD4 Memory
8281,T cell,CD4 Naive
8282,T cell,CD4 Naive
8283,Mono/DC,CD14 Mono
8284,T cell,CD8 Naive
8285,T cell,CD8 Naive
8286,Mono/DC,CD14 Mono
8287,T cell,CD4 Memory
8288,T cell,CD8 Naive
8289,T cell,CD4 Naive
8290,Mono/DC,pDC
8291,B cell,Memory B
8292,B cell,Memory B
8293,Progenitor cells,Prog_RBC
8294,T cell,CD4 Naive
8295,Mono/DC,CD14 Mono
8296,Progenitor cells,Prog_RBC
8297,B cell,Naive B
8298,T cell,CD4 Memory
8299,NK,NK
8300,Mono/DC,pDC
8301,B cell,Naive B
8302,T cell,CD8 Naive
8303,T cell,CD4 Naive
8304,T cell,CD8 Naive
8305,T cell,CD4 Naive
8306,Mono/DC,CD14 Mono
8307,Mono/DC,CD14 Mono
8308,Mono/DC,CD14 Mono
8309,T cell,CD8 Effector_1
8310,Progenitor cells,Prog_DC
8311,T cell,CD4 Naive
8312,T cell,CD4 Memory
8313,Mono/DC,CD14 Mono
8314,Mono/DC,pDC
8315,Mono/DC,CD14 Mono
8316,Progenitor cells,GMP
8317,T cell,CD4 Memory
8318,T cell,CD8 Naive
8319,Mono/DC,CD14 Mono
8320,T cell,CD8 Naive
8321,Progenitor cells,Prog_DC
8322,T cell,CD4 Memory
8323,Mono/DC,CD14 Mono
8324,B cell,Naive B
8325,T cell,CD8 Effector_2
8326,NK,NK
8327,Progenitor cells,Prog_RBC
8328,Mono/DC,cDC2
8329,Progenitor cells,Prog_RBC
8330,Progenitor cells,Prog_B 1
8331,T cell,CD4 Memory
8332,T cell,CD4 Naive
8333,Mono/DC,CD14 Mono
8334,T cell,CD8 Naive
8335,T cell,CD4 Memory
8336,Progenitor cells,Prog_RBC
8337,T cell,CD8 Naive
8338,Mono/DC,CD14 Mono
8339,T cell,CD4 Naive
8340,T cell,CD4 Naive
8341,Mono/DC,CD16 Mono
8342,T cell,CD4 Naive
8343,T cell,CD8 Naive
8344,T cell,CD8 Memory_2
8345,T cell,CD4 Memory
8346,Mono/DC,CD14 Mono
8347,B cell,Memory B
8348,Progenitor cells,Prog_DC
8349,NK,NK
8350,T cell,CD8 Naive
8351,T cell,CD4 Naive
8352,T cell,gdT
8353,Mono/DC,CD14 Mono
8354,B cell,Memory B
8355,Mono/DC,CD14 Mono
8356,T cell,CD8 Memory_1
8357,T cell,CD8 Memory_1
8358,T cell,CD8 Naive
8359,T cell,CD4 Memory
8360,T cell,CD8 Naive
8361,Progenitor cells,Prog_DC
8362,T cell,CD4 Naive
8363,T cell,CD8 Naive
8364,Mono/DC,CD14 Mono
8365,Mono/DC,cDC2
8366,T cell,Treg
8367,Mono/DC,cDC2
8368,Progenitor cells,Prog_B 1
8369,T cell,CD8 Memory_1
8370,B cell,Memory B
8371,T cell,MAIT
8372,T cell,CD8 Naive
8373,Progenitor cells,GMP
8374,B cell,Memory B
8375,Mono/DC,CD14 Mono
8376,T cell,CD8 Memory_2
8377,Mono/DC,CD14 Mono
8378,Progenitor cells,Prog_B 2
8379,T cell,CD4 Memory
8380,T cell,MAIT
8381,Mono/DC,CD14 Mono
8382,B cell,Memory B
8383,Progenitor cells,LMPP
8384,T cell,CD4 Memory
8385,NK,NK
8386,T cell,CD4 Memory
8387,T cell,CD4 Naive
8388,T cell,CD4 Memory
8389,T cell,CD4 Memory
8390,B cell,Naive B
8391,Progenitor cells,GMP
8392,T cell,CD4 Naive
8393,Mono/DC,CD14 Mono
8394,T cell,CD8 Memory_2
8395,T cell,CD4 Memory
8396,Mono/DC,CD14 Mono
8397,Progenitor cells,LMPP
8398,Progenitor cells,GMP
8399,T cell,CD4 Memory
8400,T cell,CD4 Memory
