Index,L1,L2,L1_02
3852_ADT,T cell,CD8 Naive,T cell_ADT
3853_ADT,T cell,CD4 Naive,T cell_ADT
3854_ADT,T cell,CD4 Naive,T cell_ADT
3855_ADT,NK,NK,NK_ADT
3856_ADT,T cell,gdT,T cell_ADT
3857_ADT,T cell,CD8 Naive,T cell_ADT
3858_ADT,T cell,CD8 Effector_2,T cell_ADT
3859_ADT,Progenitor cells,Prog_Mk,Progenitor cells_ADT
3860_ADT,B cell,Memory B,B cell_ADT
3861_ADT,T cell,CD4 Naive,T cell_ADT
3862_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3863_ADT,T cell,CD8 Naive,T cell_ADT
3864_ADT,Progenitor cells,GMP,Progenitor cells_ADT
3865_ADT,T cell,CD8 Naive,T cell_ADT
3866_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3867_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3868_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3869_ADT,T cell,CD4 Memory,T cell_ADT
3870_ADT,T cell,CD4 Naive,T cell_ADT
3871_ADT,T cell,CD8 Naive,T cell_ADT
3872_ADT,T cell,CD4 Naive,T cell_ADT
3873_ADT,T cell,CD4 Naive,T cell_ADT
3874_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
3875_ADT,T cell,CD4 Naive,T cell_ADT
3876_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3877_ADT,T cell,CD4 Memory,T cell_ADT
3878_ADT,B cell,Naive B,B cell_ADT
3879_ADT,T cell,CD8 Naive,T cell_ADT
3880_ADT,T cell,CD4 Memory,T cell_ADT
3881_ADT,T cell,CD8 Naive,T cell_ADT
3882_ADT,Progenitor cells,Prog_DC,Progenitor cells_ADT
3883_ADT,T cell,CD8 Naive,T cell_ADT
3884_ADT,T cell,CD4 Naive,T cell_ADT
3885_ADT,T cell,CD8 Naive,T cell_ADT
3886_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3887_ADT,T cell,CD4 Memory,T cell_ADT
3888_ADT,Mono/DC,cDC2,Mono/DC_ADT
3889_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3890_ADT,Mono/DC,cDC2,Mono/DC_ADT
3891_ADT,B cell,Memory B,B cell_ADT
3892_ADT,T cell,CD8 Naive,T cell_ADT
3893_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3894_ADT,T cell,CD4 Naive,T cell_ADT
3895_ADT,T cell,CD4 Memory,T cell_ADT
3896_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3897_ADT,T cell,CD4 Naive,T cell_ADT
3898_ADT,Progenitor cells,HSC,Progenitor cells_ADT
3899_ADT,T cell,CD8 Naive,T cell_ADT
3900_ADT,T cell,CD4 Naive,T cell_ADT
3901_ADT,NK,NK,NK_ADT
3902_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3903_ADT,T cell,gdT,T cell_ADT
3904_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3905_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3906_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3907_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3908_ADT,Progenitor cells,Prog_B 2,Progenitor cells_ADT
3909_ADT,T cell,CD8 Naive,T cell_ADT
3910_ADT,Mono/DC,pDC,Mono/DC_ADT
3911_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3912_ADT,B cell,Memory B,B cell_ADT
3913_ADT,T cell,CD4 Memory,T cell_ADT
3914_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3915_ADT,T cell,CD8 Naive,T cell_ADT
3916_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3917_ADT,T cell,CD4 Memory,T cell_ADT
3918_ADT,T cell,CD8 Naive,T cell_ADT
3919_ADT,T cell,CD8 Naive,T cell_ADT
3920_ADT,T cell,CD8 Naive,T cell_ADT
3921_ADT,T cell,CD8 Memory_2,T cell_ADT
3922_ADT,B cell,Naive B,B cell_ADT
3923_ADT,T cell,CD4 Naive,T cell_ADT
3924_ADT,T cell,CD4 Naive,T cell_ADT
3925_ADT,B cell,Memory B,B cell_ADT
3926_ADT,T cell,CD8 Naive,T cell_ADT
3927_ADT,T cell,CD4 Naive,T cell_ADT
3928_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3929_ADT,T cell,CD4 Memory,T cell_ADT
3930_ADT,B cell,Naive B,B cell_ADT
3931_ADT,B cell,Naive B,B cell_ADT
3932_ADT,T cell,CD8 Naive,T cell_ADT
3933_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3934_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
3935_ADT,T cell,CD8 Naive,T cell_ADT
3936_ADT,T cell,CD8 Naive,T cell_ADT
3937_ADT,T cell,CD4 Naive,T cell_ADT
3938_ADT,T cell,CD4 Memory,T cell_ADT
3939_ADT,NK,NK,NK_ADT
3940_ADT,T cell,CD4 Memory,T cell_ADT
3941_ADT,T cell,CD4 Naive,T cell_ADT
3942_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3943_ADT,B cell,Naive B,B cell_ADT
3944_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3945_ADT,NK,NK,NK_ADT
3946_ADT,B cell,Memory B,B cell_ADT
3947_ADT,Mono/DC,pDC,Mono/DC_ADT
3948_ADT,T cell,CD4 Memory,T cell_ADT
3949_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3950_ADT,B cell,Memory B,B cell_ADT
3951_ADT,T cell,CD8 Naive,T cell_ADT
3952_ADT,T cell,CD4 Memory,T cell_ADT
3953_ADT,T cell,CD4 Naive,T cell_ADT
3954_ADT,Progenitor cells,GMP,Progenitor cells_ADT
3955_ADT,T cell,CD4 Naive,T cell_ADT
3956_ADT,T cell,CD4 Naive,T cell_ADT
3957_ADT,T cell,CD4 Naive,T cell_ADT
3958_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
3959_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3960_ADT,T cell,CD8 Naive,T cell_ADT
3961_ADT,Progenitor cells,HSC,Progenitor cells_ADT
3962_ADT,T cell,CD8 Naive,T cell_ADT
3963_ADT,B cell,Memory B,B cell_ADT
3964_ADT,T cell,CD4 Naive,T cell_ADT
3965_ADT,T cell,CD4 Naive,T cell_ADT
3966_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3967_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3968_ADT,Mono/DC,pDC,Mono/DC_ADT
3969_ADT,T cell,CD4 Memory,T cell_ADT
3970_ADT,NK,NK,NK_ADT
3971_ADT,T cell,gdT,T cell_ADT
3972_ADT,T cell,CD4 Memory,T cell_ADT
3973_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
3974_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3975_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3976_ADT,T cell,CD8 Naive,T cell_ADT
3977_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3978_ADT,T cell,CD4 Naive,T cell_ADT
3979_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3980_ADT,Mono/DC,pDC,Mono/DC_ADT
3981_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3982_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
3983_ADT,T cell,CD8 Memory_2,T cell_ADT
3984_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3985_ADT,T cell,CD4 Memory,T cell_ADT
3986_ADT,T cell,CD8 Memory_2,T cell_ADT
3987_ADT,T cell,CD8 Naive,T cell_ADT
3988_ADT,T cell,CD8 Naive,T cell_ADT
3989_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
3990_ADT,T cell,CD4 Naive,T cell_ADT
3991_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3992_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3993_ADT,NK,NK,NK_ADT
3994_ADT,T cell,CD8 Naive,T cell_ADT
3995_ADT,T cell,CD4 Memory,T cell_ADT
3996_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
3997_ADT,B cell,Naive B,B cell_ADT
3998_ADT,B cell,Memory B,B cell_ADT
3999_ADT,NK,NK,NK_ADT
4000_ADT,T cell,CD8 Naive,T cell_ADT
4001_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4002_ADT,T cell,CD4 Naive,T cell_ADT
4003_ADT,T cell,CD8 Memory_2,T cell_ADT
4004_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4005_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4006_ADT,T cell,CD4 Memory,T cell_ADT
4007_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4008_ADT,T cell,CD4 Naive,T cell_ADT
4009_ADT,T cell,CD4 Naive,T cell_ADT
4010_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4011_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4012_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4013_ADT,T cell,CD4 Naive,T cell_ADT
4014_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4015_ADT,B cell,Memory B,B cell_ADT
4016_ADT,B cell,Naive B,B cell_ADT
4017_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4018_ADT,T cell,CD8 Naive,T cell_ADT
4019_ADT,B cell,Naive B,B cell_ADT
4020_ADT,B cell,Naive B,B cell_ADT
4021_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4022_ADT,Progenitor cells,Prog_DC,Progenitor cells_ADT
4023_ADT,T cell,CD4 Naive,T cell_ADT
4024_ADT,T cell,CD8 Naive,T cell_ADT
4025_ADT,T cell,CD4 Memory,T cell_ADT
4026_ADT,NK,NK,NK_ADT
4027_ADT,B cell,Naive B,B cell_ADT
4028_ADT,T cell,CD4 Naive,T cell_ADT
4029_ADT,T cell,CD4 Naive,T cell_ADT
4030_ADT,T cell,CD4 Memory,T cell_ADT
4031_ADT,B cell,Naive B,B cell_ADT
4032_ADT,T cell,CD4 Naive,T cell_ADT
4033_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4034_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4035_ADT,T cell,CD4 Memory,T cell_ADT
4036_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4037_ADT,T cell,MAIT,T cell_ADT
4038_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4039_ADT,T cell,CD8 Naive,T cell_ADT
4040_ADT,T cell,CD4 Naive,T cell_ADT
4041_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4042_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4043_ADT,Mono/DC,cDC2,Mono/DC_ADT
4044_ADT,T cell,CD4 Naive,T cell_ADT
4045_ADT,B cell,Naive B,B cell_ADT
4046_ADT,NK,NK,NK_ADT
4047_ADT,T cell,MAIT,T cell_ADT
4048_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4049_ADT,T cell,CD4 Naive,T cell_ADT
4050_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4051_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4052_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4053_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4054_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4055_ADT,T cell,CD4 Naive,T cell_ADT
4056_ADT,T cell,CD8 Memory_1,T cell_ADT
4057_ADT,T cell,CD4 Memory,T cell_ADT
4058_ADT,T cell,CD4 Naive,T cell_ADT
4059_ADT,T cell,MAIT,T cell_ADT
4060_ADT,T cell,CD4 Naive,T cell_ADT
4061_ADT,T cell,gdT,T cell_ADT
4062_ADT,T cell,CD8 Effector_2,T cell_ADT
4063_ADT,T cell,CD8 Naive,T cell_ADT
4064_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4065_ADT,B cell,Naive B,B cell_ADT
4066_ADT,Mono/DC,cDC2,Mono/DC_ADT
4067_ADT,T cell,CD8 Naive,T cell_ADT
4068_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4069_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4070_ADT,T cell,CD8 Naive,T cell_ADT
4071_ADT,T cell,CD8 Effector_1,T cell_ADT
4072_ADT,NK,NK,NK_ADT
4073_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4074_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4075_ADT,Mono/DC,cDC2,Mono/DC_ADT
4076_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4077_ADT,B cell,Naive B,B cell_ADT
4078_ADT,T cell,CD4 Naive,T cell_ADT
4079_ADT,T cell,CD8 Effector_2,T cell_ADT
4080_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4081_ADT,T cell,CD8 Naive,T cell_ADT
4082_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4083_ADT,T cell,CD4 Memory,T cell_ADT
4084_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4085_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4086_ADT,T cell,CD4 Memory,T cell_ADT
4087_ADT,NK,NK,NK_ADT
4088_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4089_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4090_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4091_ADT,T cell,gdT,T cell_ADT
4092_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4093_ADT,B cell,Naive B,B cell_ADT
4094_ADT,T cell,CD4 Memory,T cell_ADT
4095_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4096_ADT,T cell,CD8 Naive,T cell_ADT
4097_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4098_ADT,T cell,CD4 Memory,T cell_ADT
4099_ADT,T cell,CD8 Naive,T cell_ADT
4100_ADT,B cell,Naive B,B cell_ADT
4101_ADT,T cell,CD8 Naive,T cell_ADT
4102_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4103_ADT,B cell,Memory B,B cell_ADT
4104_ADT,T cell,CD8 Memory_1,T cell_ADT
4105_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4106_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4107_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4108_ADT,T cell,CD8 Naive,T cell_ADT
4109_ADT,T cell,CD4 Naive,T cell_ADT
4110_ADT,T cell,MAIT,T cell_ADT
4111_ADT,B cell,Naive B,B cell_ADT
4112_ADT,Progenitor cells,LMPP,Progenitor cells_ADT
4113_ADT,Progenitor cells,Prog_DC,Progenitor cells_ADT
4114_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4115_ADT,T cell,CD4 Memory,T cell_ADT
4116_ADT,T cell,CD8 Naive,T cell_ADT
4117_ADT,B cell,Naive B,B cell_ADT
4118_ADT,Progenitor cells,HSC,Progenitor cells_ADT
4119_ADT,T cell,CD8 Memory_2,T cell_ADT
4120_ADT,T cell,CD4 Naive,T cell_ADT
4121_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4122_ADT,T cell,CD4 Naive,T cell_ADT
4123_ADT,NK,NK,NK_ADT
4124_ADT,T cell,CD4 Naive,T cell_ADT
4125_ADT,T cell,CD8 Memory_2,T cell_ADT
4126_ADT,B cell,Naive B,B cell_ADT
4127_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4128_ADT,B cell,Plasmablast,B cell_ADT
4129_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4130_ADT,T cell,CD8 Naive,T cell_ADT
4131_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4132_ADT,T cell,CD4 Naive,T cell_ADT
4133_ADT,T cell,CD4 Naive,T cell_ADT
4134_ADT,T cell,CD8 Naive,T cell_ADT
4135_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4136_ADT,Mono/DC,pDC,Mono/DC_ADT
4137_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4138_ADT,T cell,CD4 Naive,T cell_ADT
4139_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4140_ADT,T cell,CD8 Naive,T cell_ADT
4141_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4142_ADT,T cell,CD8 Naive,T cell_ADT
4143_ADT,T cell,CD4 Naive,T cell_ADT
4144_ADT,T cell,CD8 Naive,T cell_ADT
4145_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4146_ADT,T cell,gdT,T cell_ADT
4147_ADT,T cell,CD4 Memory,T cell_ADT
4148_ADT,T cell,CD8 Naive,T cell_ADT
4149_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4150_ADT,T cell,CD4 Memory,T cell_ADT
4151_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4152_ADT,T cell,CD4 Naive,T cell_ADT
4153_ADT,B cell,Memory B,B cell_ADT
4154_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4155_ADT,T cell,CD4 Naive,T cell_ADT
4156_ADT,NK,NK,NK_ADT
4157_ADT,T cell,CD8 Naive,T cell_ADT
4158_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4159_ADT,T cell,CD8 Naive,T cell_ADT
4160_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4161_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4162_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4163_ADT,T cell,CD8 Naive,T cell_ADT
4164_ADT,T cell,CD8 Naive,T cell_ADT
4165_ADT,T cell,CD4 Naive,T cell_ADT
4166_ADT,B cell,Naive B,B cell_ADT
4167_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4168_ADT,T cell,CD8 Effector_1,T cell_ADT
4169_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4170_ADT,T cell,CD8 Memory_1,T cell_ADT
4171_ADT,T cell,CD8 Naive,T cell_ADT
4172_ADT,T cell,CD4 Naive,T cell_ADT
4173_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4174_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4175_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4176_ADT,T cell,CD4 Naive,T cell_ADT
4177_ADT,T cell,CD8 Naive,T cell_ADT
4178_ADT,T cell,CD8 Naive,T cell_ADT
4179_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4180_ADT,T cell,CD4 Naive,T cell_ADT
4181_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4182_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4183_ADT,B cell,Naive B,B cell_ADT
4184_ADT,T cell,CD4 Naive,T cell_ADT
4185_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4186_ADT,NK,NK,NK_ADT
4187_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4188_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4189_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4190_ADT,T cell,CD4 Memory,T cell_ADT
4191_ADT,T cell,CD4 Naive,T cell_ADT
4192_ADT,B cell,Memory B,B cell_ADT
4193_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4194_ADT,T cell,CD4 Naive,T cell_ADT
4195_ADT,NK,NK,NK_ADT
4196_ADT,T cell,CD8 Naive,T cell_ADT
4197_ADT,T cell,CD4 Naive,T cell_ADT
4198_ADT,B cell,Memory B,B cell_ADT
4199_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4200_ADT,T cell,CD4 Naive,T cell_ADT
4201_ADT,T cell,CD8 Effector_2,T cell_ADT
4202_ADT,B cell,Naive B,B cell_ADT
4203_ADT,NK,NK,NK_ADT
4204_ADT,T cell,CD4 Naive,T cell_ADT
4205_ADT,B cell,Naive B,B cell_ADT
4206_ADT,T cell,CD4 Naive,T cell_ADT
4207_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4208_ADT,T cell,CD8 Naive,T cell_ADT
4209_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4210_ADT,T cell,CD8 Memory_2,T cell_ADT
4211_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4212_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4213_ADT,T cell,CD4 Naive,T cell_ADT
4214_ADT,T cell,CD4 Memory,T cell_ADT
4215_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4216_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4217_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4218_ADT,T cell,CD8 Naive,T cell_ADT
4219_ADT,T cell,CD4 Naive,T cell_ADT
4220_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4221_ADT,T cell,CD4 Memory,T cell_ADT
4222_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4223_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4224_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4225_ADT,T cell,CD4 Naive,T cell_ADT
4226_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4227_ADT,T cell,CD8 Naive,T cell_ADT
4228_ADT,T cell,CD8 Naive,T cell_ADT
4229_ADT,B cell,Naive B,B cell_ADT
4230_ADT,T cell,MAIT,T cell_ADT
4231_ADT,T cell,CD4 Memory,T cell_ADT
4232_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4233_ADT,T cell,CD8 Memory_1,T cell_ADT
4234_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4235_ADT,T cell,CD4 Naive,T cell_ADT
4236_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4237_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4238_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4239_ADT,T cell,CD8 Memory_2,T cell_ADT
4240_ADT,T cell,CD4 Memory,T cell_ADT
4241_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4242_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4243_ADT,B cell,Memory B,B cell_ADT
4244_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4245_ADT,T cell,CD4 Naive,T cell_ADT
4246_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4247_ADT,T cell,CD8 Naive,T cell_ADT
4248_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4249_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4250_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4251_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4252_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4253_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4254_ADT,T cell,CD8 Naive,T cell_ADT
4255_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4256_ADT,T cell,CD4 Memory,T cell_ADT
4257_ADT,B cell,Memory B,B cell_ADT
4258_ADT,Mono/DC,cDC2,Mono/DC_ADT
4259_ADT,T cell,CD8 Naive,T cell_ADT
4260_ADT,T cell,CD4 Memory,T cell_ADT
4261_ADT,B cell,Memory B,B cell_ADT
4262_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4263_ADT,T cell,CD8 Naive,T cell_ADT
4264_ADT,T cell,CD4 Memory,T cell_ADT
4265_ADT,T cell,CD8 Naive,T cell_ADT
4266_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4267_ADT,T cell,CD8 Naive,T cell_ADT
4268_ADT,T cell,CD4 Naive,T cell_ADT
4269_ADT,T cell,CD8 Memory_2,T cell_ADT
4270_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4271_ADT,T cell,CD4 Naive,T cell_ADT
4272_ADT,T cell,CD8 Naive,T cell_ADT
4273_ADT,T cell,CD4 Naive,T cell_ADT
4274_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4275_ADT,T cell,CD8 Naive,T cell_ADT
4276_ADT,T cell,CD8 Naive,T cell_ADT
4277_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
4278_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4279_ADT,B cell,Naive B,B cell_ADT
4280_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4281_ADT,T cell,Treg,T cell_ADT
4282_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4283_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4284_ADT,T cell,CD8 Memory_2,T cell_ADT
4285_ADT,T cell,CD8 Effector_2,T cell_ADT
4286_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4287_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4288_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4289_ADT,T cell,CD4 Naive,T cell_ADT
4290_ADT,T cell,gdT,T cell_ADT
4291_ADT,B cell,Naive B,B cell_ADT
4292_ADT,B cell,Memory B,B cell_ADT
4293_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4294_ADT,NK,NK,NK_ADT
4295_ADT,Mono/DC,CD16 Mono,Mono/DC_ADT
4296_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4297_ADT,T cell,CD4 Memory,T cell_ADT
4298_ADT,T cell,CD8 Naive,T cell_ADT
4299_ADT,T cell,CD4 Memory,T cell_ADT
4300_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4301_ADT,T cell,Treg,T cell_ADT
4302_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4303_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4304_ADT,Progenitor cells,Prog_B 1,Progenitor cells_ADT
4305_ADT,NK,NK,NK_ADT
4306_ADT,T cell,Treg,T cell_ADT
4307_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4308_ADT,T cell,CD4 Memory,T cell_ADT
4309_ADT,T cell,CD4 Memory,T cell_ADT
4310_ADT,T cell,MAIT,T cell_ADT
4311_ADT,B cell,Naive B,B cell_ADT
4312_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4313_ADT,T cell,CD8 Memory_1,T cell_ADT
4314_ADT,T cell,CD4 Memory,T cell_ADT
4315_ADT,B cell,Memory B,B cell_ADT
4316_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4317_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4318_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4319_ADT,Mono/DC,pDC,Mono/DC_ADT
4320_ADT,B cell,Memory B,B cell_ADT
4321_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4322_ADT,B cell,Memory B,B cell_ADT
4323_ADT,T cell,CD8 Naive,T cell_ADT
4324_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4325_ADT,T cell,CD4 Naive,T cell_ADT
4326_ADT,T cell,gdT,T cell_ADT
4327_ADT,T cell,CD4 Memory,T cell_ADT
4328_ADT,T cell,CD4 Naive,T cell_ADT
4329_ADT,T cell,CD4 Naive,T cell_ADT
4330_ADT,NK,NK,NK_ADT
4331_ADT,T cell,CD4 Memory,T cell_ADT
4332_ADT,NK,NK,NK_ADT
4333_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
4334_ADT,Progenitor cells,GMP,Progenitor cells_ADT
4335_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4336_ADT,T cell,CD4 Memory,T cell_ADT
4337_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
4338_ADT,T cell,CD8 Naive,T cell_ADT
