Index,L1,L2,L1_02
3416_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3417_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
3418_RNA,T cell,CD4 Naive,T cell_RNA
3419_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3420_RNA,T cell,CD4 Naive,T cell_RNA
3421_RNA,T cell,CD4 Naive,T cell_RNA
3422_RNA,B cell,Naive B,B cell_RNA
3423_RNA,T cell,Treg,T cell_RNA
3424_RNA,T cell,CD4 Naive,T cell_RNA
3425_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3426_RNA,B cell,Naive B,B cell_RNA
3427_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3428_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3429_RNA,B cell,Naive B,B cell_RNA
3430_RNA,T cell,CD4 Memory,T cell_RNA
3431_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3432_RNA,B cell,Naive B,B cell_RNA
3433_RNA,B cell,Memory B,B cell_RNA
3434_RNA,T cell,CD4 Naive,T cell_RNA
3435_RNA,T cell,CD8 Naive,T cell_RNA
3436_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3437_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3438_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3439_RNA,Mono/DC,cDC2,Mono/DC_RNA
3440_RNA,T cell,CD4 Memory,T cell_RNA
3441_RNA,T cell,CD4 Naive,T cell_RNA
3442_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3443_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3444_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3445_RNA,T cell,CD4 Naive,T cell_RNA
3446_RNA,T cell,CD4 Memory,T cell_RNA
3447_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3448_RNA,B cell,Naive B,B cell_RNA
3449_RNA,Progenitor cells,HSC,Progenitor cells_RNA
3450_RNA,B cell,Memory B,B cell_RNA
3451_RNA,T cell,CD4 Memory,T cell_RNA
3452_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3453_RNA,T cell,gdT,T cell_RNA
3454_RNA,T cell,CD4 Memory,T cell_RNA
3455_RNA,T cell,CD4 Naive,T cell_RNA
3456_RNA,T cell,CD8 Memory_1,T cell_RNA
3457_RNA,T cell,CD4 Naive,T cell_RNA
3458_RNA,T cell,CD4 Naive,T cell_RNA
3459_RNA,T cell,CD8 Naive,T cell_RNA
3460_RNA,Progenitor cells,HSC,Progenitor cells_RNA
3461_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3462_RNA,T cell,CD4 Naive,T cell_RNA
3463_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3464_RNA,T cell,CD8 Naive,T cell_RNA
3465_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
3466_RNA,B cell,Memory B,B cell_RNA
3467_RNA,B cell,Naive B,B cell_RNA
3468_RNA,B cell,Plasmablast,B cell_RNA
3469_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3470_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3471_RNA,T cell,CD4 Naive,T cell_RNA
3472_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3473_RNA,T cell,CD4 Naive,T cell_RNA
3474_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3475_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3476_RNA,T cell,CD4 Memory,T cell_RNA
3477_RNA,B cell,Memory B,B cell_RNA
3478_RNA,T cell,CD8 Naive,T cell_RNA
3479_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3480_RNA,T cell,CD4 Memory,T cell_RNA
3481_RNA,B cell,Naive B,B cell_RNA
3482_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3483_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3484_RNA,B cell,Naive B,B cell_RNA
3485_RNA,T cell,CD8 Naive,T cell_RNA
3486_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3487_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3488_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3489_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3490_RNA,T cell,CD8 Naive,T cell_RNA
3491_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3492_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3493_RNA,T cell,CD4 Memory,T cell_RNA
3494_RNA,T cell,CD4 Naive,T cell_RNA
3495_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3496_RNA,T cell,CD8 Naive,T cell_RNA
3497_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3498_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3499_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3500_RNA,B cell,Naive B,B cell_RNA
3501_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3502_RNA,B cell,Memory B,B cell_RNA
3503_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
3504_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3505_RNA,T cell,CD4 Memory,T cell_RNA
3506_RNA,T cell,CD8 Memory_1,T cell_RNA
3507_RNA,T cell,CD8 Naive,T cell_RNA
3508_RNA,T cell,CD4 Memory,T cell_RNA
3509_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3510_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3511_RNA,T cell,CD8 Naive,T cell_RNA
3512_RNA,B cell,Naive B,B cell_RNA
3513_RNA,T cell,CD8 Naive,T cell_RNA
3514_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3515_RNA,T cell,CD8 Memory_1,T cell_RNA
3516_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3517_RNA,NK,NK,NK_RNA
3518_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3519_RNA,T cell,CD8 Effector_1,T cell_RNA
3520_RNA,T cell,MAIT,T cell_RNA
3521_RNA,T cell,CD8 Naive,T cell_RNA
3522_RNA,T cell,CD8 Naive,T cell_RNA
3523_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3524_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3525_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3526_RNA,Mono/DC,pDC,Mono/DC_RNA
3527_RNA,T cell,CD4 Memory,T cell_RNA
3528_RNA,T cell,CD8 Naive,T cell_RNA
3529_RNA,T cell,CD4 Memory,T cell_RNA
3530_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3531_RNA,T cell,CD4 Memory,T cell_RNA
3532_RNA,T cell,gdT,T cell_RNA
3533_RNA,T cell,CD4 Naive,T cell_RNA
3534_RNA,NK,NK,NK_RNA
3535_RNA,T cell,CD4 Naive,T cell_RNA
3536_RNA,T cell,CD4 Memory,T cell_RNA
3537_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
3538_RNA,T cell,CD4 Naive,T cell_RNA
3539_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3540_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
3541_RNA,T cell,CD4 Memory,T cell_RNA
3542_RNA,T cell,CD4 Naive,T cell_RNA
3543_RNA,B cell,Memory B,B cell_RNA
3544_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3545_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3546_RNA,B cell,Memory B,B cell_RNA
3547_RNA,T cell,CD8 Naive,T cell_RNA
3548_RNA,T cell,gdT,T cell_RNA
3549_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3550_RNA,T cell,CD4 Naive,T cell_RNA
3551_RNA,T cell,CD4 Memory,T cell_RNA
3552_RNA,T cell,CD8 Naive,T cell_RNA
3553_RNA,T cell,CD4 Naive,T cell_RNA
3554_RNA,T cell,MAIT,T cell_RNA
3555_RNA,T cell,CD8 Naive,T cell_RNA
3556_RNA,T cell,CD8 Naive,T cell_RNA
3557_RNA,T cell,CD4 Naive,T cell_RNA
3558_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3559_RNA,T cell,CD4 Memory,T cell_RNA
3560_RNA,T cell,CD8 Naive,T cell_RNA
3561_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3562_RNA,T cell,CD4 Naive,T cell_RNA
3563_RNA,T cell,CD4 Naive,T cell_RNA
3564_RNA,T cell,CD8 Naive,T cell_RNA
3565_RNA,T cell,CD4 Memory,T cell_RNA
3566_RNA,T cell,CD4 Naive,T cell_RNA
3567_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3568_RNA,B cell,Memory B,B cell_RNA
3569_RNA,T cell,CD8 Memory_1,T cell_RNA
3570_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3571_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3572_RNA,T cell,CD4 Naive,T cell_RNA
3573_RNA,T cell,MAIT,T cell_RNA
3574_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3575_RNA,B cell,Memory B,B cell_RNA
3576_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3577_RNA,T cell,CD8 Memory_2,T cell_RNA
3578_RNA,NK,NK,NK_RNA
3579_RNA,B cell,Memory B,B cell_RNA
3580_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3581_RNA,B cell,Naive B,B cell_RNA
3582_RNA,T cell,CD4 Memory,T cell_RNA
3583_RNA,T cell,CD4 Memory,T cell_RNA
3584_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3585_RNA,T cell,CD4 Memory,T cell_RNA
3586_RNA,T cell,CD4 Naive,T cell_RNA
3587_RNA,B cell,Naive B,B cell_RNA
3588_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3589_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3590_RNA,T cell,CD4 Naive,T cell_RNA
3591_RNA,T cell,CD4 Memory,T cell_RNA
3592_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3593_RNA,T cell,CD4 Naive,T cell_RNA
3594_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3595_RNA,T cell,CD8 Naive,T cell_RNA
3596_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3597_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3598_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3599_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3600_RNA,NK,NK,NK_RNA
3601_RNA,B cell,Naive B,B cell_RNA
3602_RNA,T cell,CD8 Naive,T cell_RNA
3603_RNA,B cell,Naive B,B cell_RNA
3604_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3605_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3606_RNA,B cell,Naive B,B cell_RNA
3607_RNA,T cell,CD4 Naive,T cell_RNA
3608_RNA,T cell,CD4 Naive,T cell_RNA
3609_RNA,T cell,CD4 Naive,T cell_RNA
3610_RNA,T cell,CD8 Naive,T cell_RNA
3611_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3612_RNA,B cell,Memory B,B cell_RNA
3613_RNA,T cell,CD4 Naive,T cell_RNA
3614_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3615_RNA,T cell,CD4 Naive,T cell_RNA
3616_RNA,T cell,CD4 Naive,T cell_RNA
3617_RNA,T cell,CD4 Memory,T cell_RNA
3618_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3619_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3620_RNA,T cell,CD8 Naive,T cell_RNA
3621_RNA,NK,NK,NK_RNA
3622_RNA,T cell,CD8 Naive,T cell_RNA
3623_RNA,B cell,Memory B,B cell_RNA
3624_RNA,T cell,CD4 Naive,T cell_RNA
3625_RNA,T cell,CD4 Naive,T cell_RNA
3626_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
3627_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3628_RNA,T cell,CD8 Naive,T cell_RNA
3629_RNA,T cell,CD4 Memory,T cell_RNA
3630_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3631_RNA,T cell,CD4 Naive,T cell_RNA
3632_RNA,T cell,CD8 Memory_1,T cell_RNA
3633_RNA,B cell,Naive B,B cell_RNA
3634_RNA,B cell,Naive B,B cell_RNA
3635_RNA,T cell,CD4 Memory,T cell_RNA
3636_RNA,T cell,CD4 Naive,T cell_RNA
3637_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3638_RNA,T cell,CD8 Naive,T cell_RNA
3639_RNA,T cell,CD4 Naive,T cell_RNA
3640_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3641_RNA,B cell,Naive B,B cell_RNA
3642_RNA,T cell,CD8 Effector_2,T cell_RNA
3643_RNA,T cell,CD8 Naive,T cell_RNA
3644_RNA,T cell,CD8 Memory_2,T cell_RNA
3645_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3646_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3647_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3648_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
3649_RNA,T cell,CD8 Naive,T cell_RNA
3650_RNA,T cell,CD8 Naive,T cell_RNA
3651_RNA,T cell,CD8 Naive,T cell_RNA
3652_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3653_RNA,T cell,CD4 Naive,T cell_RNA
3654_RNA,T cell,CD8 Memory_1,T cell_RNA
3655_RNA,B cell,Naive B,B cell_RNA
3656_RNA,T cell,CD8 Naive,T cell_RNA
3657_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3658_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3659_RNA,T cell,CD8 Naive,T cell_RNA
3660_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3661_RNA,T cell,CD4 Naive,T cell_RNA
3662_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
3663_RNA,T cell,CD4 Naive,T cell_RNA
3664_RNA,T cell,CD8 Naive,T cell_RNA
3665_RNA,T cell,CD4 Naive,T cell_RNA
3666_RNA,T cell,CD4 Naive,T cell_RNA
3667_RNA,Progenitor cells,HSC,Progenitor cells_RNA
3668_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3669_RNA,T cell,CD4 Naive,T cell_RNA
3670_RNA,B cell,Memory B,B cell_RNA
3671_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3672_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3673_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3674_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3675_RNA,T cell,CD8 Naive,T cell_RNA
3676_RNA,T cell,CD4 Memory,T cell_RNA
3677_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3678_RNA,T cell,CD4 Memory,T cell_RNA
3679_RNA,B cell,Memory B,B cell_RNA
3680_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3681_RNA,T cell,CD8 Naive,T cell_RNA
3682_RNA,T cell,CD8 Naive,T cell_RNA
3683_RNA,NK,NK,NK_RNA
3684_RNA,B cell,Naive B,B cell_RNA
3685_RNA,T cell,CD4 Naive,T cell_RNA
3686_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3687_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
3688_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3689_RNA,Mono/DC,cDC2,Mono/DC_RNA
3690_RNA,T cell,CD4 Memory,T cell_RNA
3691_RNA,B cell,Naive B,B cell_RNA
3692_RNA,T cell,CD4 Naive,T cell_RNA
3693_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3694_RNA,T cell,CD4 Memory,T cell_RNA
3695_RNA,Progenitor cells,HSC,Progenitor cells_RNA
3696_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3697_RNA,T cell,CD4 Naive,T cell_RNA
3698_RNA,B cell,Naive B,B cell_RNA
3699_RNA,T cell,CD8 Naive,T cell_RNA
3700_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3701_RNA,T cell,MAIT,T cell_RNA
3702_RNA,T cell,CD8 Naive,T cell_RNA
3703_RNA,T cell,CD4 Naive,T cell_RNA
3704_RNA,T cell,CD4 Naive,T cell_RNA
3705_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3706_RNA,T cell,CD8 Naive,T cell_RNA
3707_RNA,T cell,CD8 Naive,T cell_RNA
3708_RNA,B cell,Naive B,B cell_RNA
3709_RNA,NK,CD56 bright NK,NK_RNA
3710_RNA,T cell,CD4 Naive,T cell_RNA
3711_RNA,B cell,Memory B,B cell_RNA
3712_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3713_RNA,T cell,CD8 Naive,T cell_RNA
3714_RNA,T cell,CD4 Naive,T cell_RNA
3715_RNA,T cell,CD8 Naive,T cell_RNA
3716_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3717_RNA,T cell,CD8 Naive,T cell_RNA
3718_RNA,T cell,CD4 Naive,T cell_RNA
3719_RNA,T cell,CD4 Memory,T cell_RNA
3720_RNA,T cell,CD4 Memory,T cell_RNA
3721_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3722_RNA,T cell,CD4 Naive,T cell_RNA
3723_RNA,T cell,CD4 Memory,T cell_RNA
3724_RNA,T cell,gdT,T cell_RNA
3725_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3726_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3727_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3728_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3729_RNA,T cell,CD8 Naive,T cell_RNA
3730_RNA,T cell,CD4 Memory,T cell_RNA
3731_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3732_RNA,B cell,Memory B,B cell_RNA
3733_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3734_RNA,T cell,CD4 Naive,T cell_RNA
3735_RNA,B cell,Naive B,B cell_RNA
3736_RNA,T cell,CD4 Memory,T cell_RNA
3737_RNA,B cell,Memory B,B cell_RNA
3738_RNA,T cell,CD4 Memory,T cell_RNA
3739_RNA,T cell,CD8 Naive,T cell_RNA
3740_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3741_RNA,T cell,CD4 Memory,T cell_RNA
3742_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3743_RNA,T cell,CD4 Memory,T cell_RNA
3744_RNA,B cell,Naive B,B cell_RNA
3745_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3746_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3747_RNA,T cell,CD8 Memory_1,T cell_RNA
3748_RNA,T cell,CD4 Naive,T cell_RNA
3749_RNA,B cell,Naive B,B cell_RNA
3750_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3751_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3752_RNA,T cell,CD4 Naive,T cell_RNA
3753_RNA,T cell,CD4 Naive,T cell_RNA
3754_RNA,T cell,CD4 Memory,T cell_RNA
3755_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
3756_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3757_RNA,T cell,CD8 Naive,T cell_RNA
3758_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3759_RNA,T cell,CD4 Memory,T cell_RNA
3760_RNA,T cell,CD4 Memory,T cell_RNA
3761_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3762_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3763_RNA,T cell,CD4 Naive,T cell_RNA
3764_RNA,T cell,CD8 Naive,T cell_RNA
3765_RNA,T cell,CD8 Naive,T cell_RNA
3766_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3767_RNA,T cell,CD8 Memory_2,T cell_RNA
3768_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3769_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3770_RNA,T cell,CD8 Naive,T cell_RNA
3771_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3772_RNA,NK,NK,NK_RNA
3773_RNA,T cell,CD4 Memory,T cell_RNA
3774_RNA,B cell,Naive B,B cell_RNA
3775_RNA,T cell,CD4 Naive,T cell_RNA
3776_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3777_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3778_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3779_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3780_RNA,B cell,Memory B,B cell_RNA
3781_RNA,T cell,CD8 Naive,T cell_RNA
3782_RNA,T cell,CD8 Effector_2,T cell_RNA
3783_RNA,NK,NK,NK_RNA
3784_RNA,NK,NK,NK_RNA
3785_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
3786_RNA,NK,NK,NK_RNA
3787_RNA,NK,NK,NK_RNA
3788_RNA,T cell,CD8 Effector_2,T cell_RNA
3789_RNA,Mono/DC,cDC2,Mono/DC_RNA
3790_RNA,T cell,gdT,T cell_RNA
3791_RNA,Mono/DC,cDC2,Mono/DC_RNA
3792_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3793_RNA,T cell,CD8 Effector_1,T cell_RNA
3794_RNA,Mono/DC,cDC2,Mono/DC_RNA
3795_RNA,T cell,CD4 Naive,T cell_RNA
3796_RNA,T cell,CD4 Memory,T cell_RNA
3797_RNA,T cell,Treg,T cell_RNA
3798_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
3799_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3800_RNA,B cell,Naive B,B cell_RNA
3801_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
3802_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3803_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3804_RNA,T cell,CD8 Naive,T cell_RNA
3805_RNA,T cell,CD8 Naive,T cell_RNA
3806_RNA,T cell,CD8 Naive,T cell_RNA
3807_RNA,B cell,Naive B,B cell_RNA
3808_RNA,T cell,CD8 Naive,T cell_RNA
3809_RNA,T cell,CD4 Naive,T cell_RNA
3810_RNA,T cell,CD4 Naive,T cell_RNA
3811_RNA,B cell,Naive B,B cell_RNA
3812_RNA,T cell,CD4 Memory,T cell_RNA
3813_RNA,T cell,CD8 Naive,T cell_RNA
3814_RNA,Progenitor cells,Prog_B 2,Progenitor cells_RNA
3815_RNA,NK,NK,NK_RNA
3816_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3817_RNA,T cell,CD4 Memory,T cell_RNA
3818_RNA,T cell,CD4 Memory,T cell_RNA
3819_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3820_RNA,T cell,CD4 Naive,T cell_RNA
3821_RNA,T cell,MAIT,T cell_RNA
3822_RNA,T cell,gdT,T cell_RNA
3823_RNA,T cell,CD4 Naive,T cell_RNA
3824_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3825_RNA,T cell,CD4 Memory,T cell_RNA
3826_RNA,T cell,CD8 Naive,T cell_RNA
3827_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3828_RNA,Mono/DC,pDC,Mono/DC_RNA
3829_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3830_RNA,B cell,Memory B,B cell_RNA
3831_RNA,T cell,CD4 Naive,T cell_RNA
3832_RNA,T cell,CD8 Naive,T cell_RNA
3833_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3834_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3835_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
3836_RNA,T cell,CD4 Memory,T cell_RNA
3837_RNA,T cell,CD4 Naive,T cell_RNA
3838_RNA,NK,NK,NK_RNA
3839_RNA,B cell,Naive B,B cell_RNA
3840_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3841_RNA,T cell,CD4 Naive,T cell_RNA
3842_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3843_RNA,T cell,CD8 Naive,T cell_RNA
3844_RNA,T cell,CD4 Naive,T cell_RNA
3845_RNA,T cell,CD8 Memory_2,T cell_RNA
3846_RNA,T cell,CD4 Naive,T cell_RNA
3847_RNA,T cell,CD4 Memory,T cell_RNA
3848_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3849_RNA,T cell,CD8 Naive,T cell_RNA
3850_RNA,Progenitor cells,LMPP,Progenitor cells_RNA
3851_RNA,T cell,CD4 Naive,T cell_RNA
3852_RNA,T cell,CD8 Naive,T cell_RNA
3853_RNA,T cell,CD4 Naive,T cell_RNA
3854_RNA,T cell,CD4 Naive,T cell_RNA
3855_RNA,NK,NK,NK_RNA
3856_RNA,T cell,gdT,T cell_RNA
3857_RNA,T cell,CD8 Naive,T cell_RNA
3858_RNA,T cell,CD8 Effector_2,T cell_RNA
3859_RNA,Progenitor cells,Prog_Mk,Progenitor cells_RNA
3860_RNA,B cell,Memory B,B cell_RNA
3861_RNA,T cell,CD4 Naive,T cell_RNA
3862_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3863_RNA,T cell,CD8 Naive,T cell_RNA
3864_RNA,Progenitor cells,GMP,Progenitor cells_RNA
3865_RNA,T cell,CD8 Naive,T cell_RNA
3866_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3867_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3868_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3869_RNA,T cell,CD4 Memory,T cell_RNA
3870_RNA,T cell,CD4 Naive,T cell_RNA
3871_RNA,T cell,CD8 Naive,T cell_RNA
3872_RNA,T cell,CD4 Naive,T cell_RNA
3873_RNA,T cell,CD4 Naive,T cell_RNA
3874_RNA,Progenitor cells,Prog_B 1,Progenitor cells_RNA
3875_RNA,T cell,CD4 Naive,T cell_RNA
3876_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3877_RNA,T cell,CD4 Memory,T cell_RNA
3878_RNA,B cell,Naive B,B cell_RNA
3879_RNA,T cell,CD8 Naive,T cell_RNA
3880_RNA,T cell,CD4 Memory,T cell_RNA
3881_RNA,T cell,CD8 Naive,T cell_RNA
3882_RNA,Progenitor cells,Prog_DC,Progenitor cells_RNA
3883_RNA,T cell,CD8 Naive,T cell_RNA
3884_RNA,T cell,CD4 Naive,T cell_RNA
3885_RNA,T cell,CD8 Naive,T cell_RNA
3886_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3887_RNA,T cell,CD4 Memory,T cell_RNA
3888_RNA,Mono/DC,cDC2,Mono/DC_RNA
3889_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3890_RNA,Mono/DC,cDC2,Mono/DC_RNA
3891_RNA,B cell,Memory B,B cell_RNA
3892_RNA,T cell,CD8 Naive,T cell_RNA
3893_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3894_RNA,T cell,CD4 Naive,T cell_RNA
3895_RNA,T cell,CD4 Memory,T cell_RNA
3896_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3897_RNA,T cell,CD4 Naive,T cell_RNA
3898_RNA,Progenitor cells,HSC,Progenitor cells_RNA
3899_RNA,T cell,CD8 Naive,T cell_RNA
3900_RNA,T cell,CD4 Naive,T cell_RNA
3901_RNA,NK,NK,NK_RNA
3902_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
3903_RNA,T cell,gdT,T cell_RNA
3904_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
