Index,Flag,L1,L2,L1_02
8209_ADT,1,T cell,CD8 Naive,T cell_ADT
8210_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8211_ADT,1,T cell,CD4 Naive,T cell_ADT
8213_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8214_ADT,1,B cell,Naive B,B cell_ADT
8215_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8219_ADT,1,T cell,CD8 Naive,T cell_ADT
8220_ADT,1,T cell,CD8 Naive,T cell_ADT
8221_ADT,1,B cell,Memory B,B cell_ADT
8222_ADT,1,Progenitor cells,Prog_B 2,Progenitor cells_ADT
8223_ADT,1,T cell,MAIT,T cell_ADT
8224_ADT,1,NK,CD56 bright NK,NK_ADT
8225_ADT,1,B cell,Naive B,B cell_ADT
8226_ADT,1,T cell,CD4 Naive,T cell_ADT
8230_ADT,1,T cell,CD4 Naive,T cell_ADT
8231_ADT,1,T cell,CD4 Memory,T cell_ADT
8233_ADT,1,B cell,Naive B,B cell_ADT
8234_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8236_ADT,1,T cell,CD4 Memory,T cell_ADT
8243_ADT,1,T cell,CD4 Naive,T cell_ADT
8244_ADT,1,T cell,CD4 Naive,T cell_ADT
8245_ADT,1,T cell,CD4 Memory,T cell_ADT
8247_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8248_ADT,1,T cell,Treg,T cell_ADT
8249_ADT,1,B cell,Memory B,B cell_ADT
8250_ADT,1,B cell,Naive B,B cell_ADT
8252_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8254_ADT,1,T cell,CD4 Memory,T cell_ADT
8255_ADT,1,T cell,CD8 Naive,T cell_ADT
8258_ADT,1,T cell,CD8 Naive,T cell_ADT
8260_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
8261_ADT,1,T cell,CD8 Naive,T cell_ADT
8266_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8269_ADT,1,T cell,CD8 Memory_1,T cell_ADT
8270_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8273_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8275_ADT,1,T cell,CD8 Naive,T cell_ADT
8279_ADT,1,B cell,Naive B,B cell_ADT
8280_ADT,1,T cell,CD4 Memory,T cell_ADT
8281_ADT,1,T cell,CD4 Naive,T cell_ADT
8284_ADT,1,T cell,CD8 Naive,T cell_ADT
8287_ADT,1,T cell,CD4 Memory,T cell_ADT
8291_ADT,1,B cell,Memory B,B cell_ADT
8292_ADT,1,B cell,Memory B,B cell_ADT
8298_ADT,1,T cell,CD4 Memory,T cell_ADT
8300_ADT,1,Mono/DC,pDC,Mono/DC_ADT
8301_ADT,1,B cell,Naive B,B cell_ADT
8303_ADT,1,T cell,CD4 Naive,T cell_ADT
8304_ADT,1,T cell,CD8 Naive,T cell_ADT
8305_ADT,1,T cell,CD4 Naive,T cell_ADT
8307_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8314_ADT,1,Mono/DC,pDC,Mono/DC_ADT
8315_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8316_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8318_ADT,1,T cell,CD8 Naive,T cell_ADT
8319_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8321_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
8323_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8327_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8328_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8330_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
8331_ADT,1,T cell,CD4 Memory,T cell_ADT
8333_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8334_ADT,1,T cell,CD8 Naive,T cell_ADT
8335_ADT,1,T cell,CD4 Memory,T cell_ADT
8337_ADT,1,T cell,CD8 Naive,T cell_ADT
8339_ADT,1,T cell,CD4 Naive,T cell_ADT
8341_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
8348_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
8350_ADT,1,T cell,CD8 Naive,T cell_ADT
8352_ADT,1,T cell,gdT,T cell_ADT
8359_ADT,1,T cell,CD4 Memory,T cell_ADT
8360_ADT,1,T cell,CD8 Naive,T cell_ADT
8362_ADT,1,T cell,CD4 Naive,T cell_ADT
8364_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8367_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8368_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
8369_ADT,1,T cell,CD8 Memory_1,T cell_ADT
8371_ADT,1,T cell,MAIT,T cell_ADT
8372_ADT,1,T cell,CD8 Naive,T cell_ADT
8378_ADT,1,Progenitor cells,Prog_B 2,Progenitor cells_ADT
8380_ADT,1,T cell,MAIT,T cell_ADT
8381_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8383_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8389_ADT,1,T cell,CD4 Memory,T cell_ADT
8391_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8393_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8394_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8395_ADT,1,T cell,CD4 Memory,T cell_ADT
8397_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8399_ADT,1,T cell,CD4 Memory,T cell_ADT
8402_ADT,1,T cell,CD4 Memory,T cell_ADT
8404_ADT,1,T cell,CD4 Memory,T cell_ADT
8405_ADT,1,T cell,CD8 Naive,T cell_ADT
8406_ADT,1,T cell,CD8 Naive,T cell_ADT
8409_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8412_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8413_ADT,1,T cell,CD4 Naive,T cell_ADT
8414_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8416_ADT,1,T cell,CD8 Naive,T cell_ADT
8417_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8418_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8420_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8422_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8423_ADT,1,B cell,Naive B,B cell_ADT
8428_ADT,1,B cell,Naive B,B cell_ADT
8429_ADT,1,T cell,CD4 Memory,T cell_ADT
8433_ADT,1,B cell,Naive B,B cell_ADT
8434_ADT,1,T cell,CD4 Naive,T cell_ADT
8435_ADT,1,T cell,CD8 Naive,T cell_ADT
8436_ADT,1,T cell,CD4 Naive,T cell_ADT
8438_ADT,1,T cell,CD8 Naive,T cell_ADT
8441_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8442_ADT,1,T cell,CD4 Naive,T cell_ADT
8444_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8447_ADT,1,T cell,CD4 Naive,T cell_ADT
8453_ADT,1,T cell,CD4 Memory,T cell_ADT
8454_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8456_ADT,1,T cell,MAIT,T cell_ADT
8459_ADT,1,NK,NK,NK_ADT
8461_ADT,1,NK,NK,NK_ADT
8462_ADT,1,T cell,CD4 Naive,T cell_ADT
8463_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8464_ADT,1,T cell,CD8 Naive,T cell_ADT
8467_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8468_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8471_ADT,1,T cell,CD4 Naive,T cell_ADT
8472_ADT,1,T cell,CD4 Memory,T cell_ADT
8474_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8475_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8477_ADT,1,T cell,CD8 Naive,T cell_ADT
8478_ADT,1,B cell,Memory B,B cell_ADT
8479_ADT,1,T cell,CD4 Naive,T cell_ADT
8480_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8484_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8488_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8489_ADT,1,B cell,Memory B,B cell_ADT
8492_ADT,1,NK,NK,NK_ADT
8493_ADT,1,B cell,Memory B,B cell_ADT
8495_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8499_ADT,1,B cell,Naive B,B cell_ADT
8502_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
8504_ADT,1,T cell,CD4 Naive,T cell_ADT
8506_ADT,1,T cell,CD4 Memory,T cell_ADT
8509_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8510_ADT,1,T cell,CD8 Naive,T cell_ADT
8513_ADT,1,T cell,CD8 Naive,T cell_ADT
8514_ADT,1,T cell,CD4 Naive,T cell_ADT
8515_ADT,1,T cell,CD8 Naive,T cell_ADT
8516_ADT,1,T cell,CD4 Naive,T cell_ADT
8517_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8518_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8519_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8521_ADT,1,T cell,CD8 Naive,T cell_ADT
8522_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8524_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8528_ADT,1,T cell,CD8 Naive,T cell_ADT
8529_ADT,1,T cell,CD4 Naive,T cell_ADT
8530_ADT,1,T cell,CD4 Naive,T cell_ADT
8531_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8532_ADT,1,T cell,CD8 Naive,T cell_ADT
8533_ADT,1,T cell,CD8 Naive,T cell_ADT
8534_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8535_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8536_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8538_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8541_ADT,1,T cell,CD4 Naive,T cell_ADT
8545_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8546_ADT,1,T cell,CD4 Naive,T cell_ADT
8549_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8551_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8552_ADT,1,T cell,CD4 Memory,T cell_ADT
8553_ADT,1,T cell,CD4 Naive,T cell_ADT
8554_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8557_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8560_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8561_ADT,1,T cell,CD4 Memory,T cell_ADT
8562_ADT,1,NK,NK,NK_ADT
8563_ADT,1,T cell,CD8 Naive,T cell_ADT
8568_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8569_ADT,1,B cell,Memory B,B cell_ADT
8570_ADT,1,Progenitor cells,Prog_B 2,Progenitor cells_ADT
8574_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8576_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8578_ADT,1,B cell,Memory B,B cell_ADT
8580_ADT,1,B cell,Memory B,B cell_ADT
8582_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8583_ADT,1,B cell,Naive B,B cell_ADT
8584_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
8586_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8589_ADT,1,T cell,CD8 Naive,T cell_ADT
8590_ADT,1,T cell,CD4 Naive,T cell_ADT
8591_ADT,1,T cell,CD8 Naive,T cell_ADT
8592_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8594_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8595_ADT,1,T cell,CD4 Naive,T cell_ADT
8596_ADT,1,T cell,CD4 Memory,T cell_ADT
8605_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8608_ADT,1,B cell,Plasmablast,B cell_ADT
8610_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8611_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8612_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8613_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8614_ADT,1,T cell,CD4 Memory,T cell_ADT
8616_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8618_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
8619_ADT,1,T cell,CD4 Naive,T cell_ADT
8621_ADT,1,T cell,CD4 Naive,T cell_ADT
8622_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8623_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8625_ADT,1,B cell,Naive B,B cell_ADT
8626_ADT,1,B cell,Memory B,B cell_ADT
8629_ADT,1,T cell,CD4 Memory,T cell_ADT
8631_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8634_ADT,1,T cell,CD4 Naive,T cell_ADT
8637_ADT,1,B cell,Naive B,B cell_ADT
8638_ADT,1,NK,NK,NK_ADT
8639_ADT,1,T cell,CD4 Memory,T cell_ADT
8640_ADT,1,T cell,CD4 Memory,T cell_ADT
8642_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8644_ADT,1,T cell,CD4 Memory,T cell_ADT
8645_ADT,1,T cell,CD4 Naive,T cell_ADT
8646_ADT,1,B cell,Plasmablast,B cell_ADT
8647_ADT,1,Progenitor cells,Prog_B 1,Progenitor cells_ADT
8648_ADT,1,T cell,CD8 Naive,T cell_ADT
8649_ADT,1,B cell,Memory B,B cell_ADT
8651_ADT,1,B cell,Naive B,B cell_ADT
8652_ADT,1,T cell,CD4 Naive,T cell_ADT
8653_ADT,1,B cell,Memory B,B cell_ADT
8657_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8659_ADT,1,B cell,Memory B,B cell_ADT
8660_ADT,1,T cell,CD4 Naive,T cell_ADT
8662_ADT,1,T cell,CD8 Naive,T cell_ADT
8668_ADT,1,B cell,Memory B,B cell_ADT
8674_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8677_ADT,1,T cell,CD4 Memory,T cell_ADT
8679_ADT,1,Progenitor cells,LMPP,Progenitor cells_ADT
8680_ADT,1,NK,NK,NK_ADT
8681_ADT,1,T cell,CD4 Naive,T cell_ADT
8682_ADT,1,T cell,CD4 Naive,T cell_ADT
8683_ADT,1,T cell,CD8 Naive,T cell_ADT
8684_ADT,1,NK,NK,NK_ADT
8688_ADT,1,B cell,Naive B,B cell_ADT
8689_ADT,1,T cell,CD8 Naive,T cell_ADT
8691_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8697_ADT,1,NK,NK,NK_ADT
8698_ADT,1,T cell,CD4 Naive,T cell_ADT
8699_ADT,1,B cell,Memory B,B cell_ADT
8700_ADT,1,B cell,Plasmablast,B cell_ADT
8703_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8704_ADT,1,B cell,Memory B,B cell_ADT
8709_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8711_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8712_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8713_ADT,1,T cell,CD4 Memory,T cell_ADT
8714_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8716_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8720_ADT,1,T cell,CD4 Naive,T cell_ADT
8723_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8724_ADT,1,T cell,CD8 Naive,T cell_ADT
8725_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8728_ADT,1,NK,CD56 bright NK,NK_ADT
8729_ADT,1,NK,CD56 bright NK,NK_ADT
8731_ADT,1,T cell,CD4 Memory,T cell_ADT
8732_ADT,1,T cell,CD8 Naive,T cell_ADT
8734_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8735_ADT,1,T cell,CD4 Naive,T cell_ADT
8739_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8740_ADT,1,T cell,CD4 Naive,T cell_ADT
8741_ADT,1,T cell,CD4 Naive,T cell_ADT
8742_ADT,1,B cell,Naive B,B cell_ADT
8743_ADT,1,T cell,CD4 Naive,T cell_ADT
8746_ADT,1,T cell,CD4 Memory,T cell_ADT
8747_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8749_ADT,1,T cell,CD8 Naive,T cell_ADT
8750_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8751_ADT,1,T cell,CD8 Naive,T cell_ADT
8755_ADT,1,T cell,CD8 Naive,T cell_ADT
8761_ADT,1,T cell,CD4 Memory,T cell_ADT
8762_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8765_ADT,1,T cell,MAIT,T cell_ADT
8770_ADT,1,T cell,CD8 Memory_1,T cell_ADT
8772_ADT,1,T cell,CD4 Naive,T cell_ADT
8773_ADT,1,T cell,CD4 Memory,T cell_ADT
8775_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8777_ADT,1,T cell,CD8 Naive,T cell_ADT
8778_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8787_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8788_ADT,1,T cell,CD8 Naive,T cell_ADT
8789_ADT,1,T cell,CD4 Memory,T cell_ADT
8790_ADT,1,NK,NK,NK_ADT
8793_ADT,1,B cell,Memory B,B cell_ADT
8794_ADT,1,T cell,CD4 Naive,T cell_ADT
8797_ADT,1,Mono/DC,cDC2,Mono/DC_ADT
8798_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8799_ADT,1,T cell,CD4 Memory,T cell_ADT
8800_ADT,1,B cell,Naive B,B cell_ADT
8801_ADT,1,T cell,CD4 Naive,T cell_ADT
8804_ADT,1,T cell,CD8 Naive,T cell_ADT
8806_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8807_ADT,1,T cell,CD8 Naive,T cell_ADT
8808_ADT,1,T cell,CD4 Memory,T cell_ADT
8809_ADT,1,T cell,CD8 Naive,T cell_ADT
8810_ADT,1,T cell,CD4 Naive,T cell_ADT
8814_ADT,1,T cell,gdT,T cell_ADT
8815_ADT,1,T cell,CD8 Naive,T cell_ADT
8816_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8817_ADT,1,T cell,CD8 Naive,T cell_ADT
8820_ADT,1,T cell,Treg,T cell_ADT
8823_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8826_ADT,1,NK,NK,NK_ADT
8831_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8832_ADT,1,NK,NK,NK_ADT
8834_ADT,1,T cell,CD4 Naive,T cell_ADT
8835_ADT,1,T cell,CD8 Naive,T cell_ADT
8836_ADT,1,B cell,Memory B,B cell_ADT
8839_ADT,1,T cell,CD4 Naive,T cell_ADT
8840_ADT,1,T cell,CD4 Memory,T cell_ADT
8843_ADT,1,T cell,gdT,T cell_ADT
8844_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8845_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8846_ADT,1,T cell,CD8 Naive,T cell_ADT
8852_ADT,1,B cell,Memory B,B cell_ADT
8856_ADT,1,T cell,CD8 Naive,T cell_ADT
8857_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8859_ADT,1,T cell,CD8 Naive,T cell_ADT
8861_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8863_ADT,1,B cell,Memory B,B cell_ADT
8866_ADT,1,B cell,Naive B,B cell_ADT
8867_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8868_ADT,1,T cell,MAIT,T cell_ADT
8870_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8874_ADT,1,T cell,CD8 Naive,T cell_ADT
8875_ADT,1,T cell,CD4 Naive,T cell_ADT
8876_ADT,1,T cell,CD8 Naive,T cell_ADT
8878_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8879_ADT,1,T cell,CD4 Memory,T cell_ADT
8880_ADT,1,B cell,Naive B,B cell_ADT
8881_ADT,1,T cell,MAIT,T cell_ADT
8882_ADT,1,T cell,CD4 Naive,T cell_ADT
8883_ADT,1,T cell,CD4 Naive,T cell_ADT
8884_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8887_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8888_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8889_ADT,1,B cell,Memory B,B cell_ADT
8890_ADT,1,B cell,Memory B,B cell_ADT
8891_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8892_ADT,1,T cell,CD4 Memory,T cell_ADT
8894_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8895_ADT,1,T cell,gdT,T cell_ADT
8899_ADT,1,T cell,CD4 Memory,T cell_ADT
8901_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8902_ADT,1,T cell,CD8 Naive,T cell_ADT
8904_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8905_ADT,1,T cell,MAIT,T cell_ADT
8906_ADT,1,T cell,CD4 Memory,T cell_ADT
8907_ADT,1,T cell,CD4 Memory,T cell_ADT
8909_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8912_ADT,1,B cell,Naive B,B cell_ADT
8914_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8916_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8917_ADT,1,T cell,CD4 Memory,T cell_ADT
8918_ADT,1,B cell,Memory B,B cell_ADT
8920_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8921_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8923_ADT,1,T cell,CD8 Naive,T cell_ADT
8925_ADT,1,B cell,Naive B,B cell_ADT
8927_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
8929_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8930_ADT,1,B cell,Naive B,B cell_ADT
8931_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
8935_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8936_ADT,1,T cell,MAIT,T cell_ADT
8937_ADT,1,T cell,CD8 Memory_2,T cell_ADT
8938_ADT,1,T cell,CD4 Naive,T cell_ADT
8939_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8940_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8943_ADT,1,NK,NK,NK_ADT
8947_ADT,1,NK,CD56 bright NK,NK_ADT
8948_ADT,1,Progenitor cells,Prog_DC,Progenitor cells_ADT
8951_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8952_ADT,1,T cell,CD8 Naive,T cell_ADT
8953_ADT,1,T cell,CD4 Naive,T cell_ADT
8954_ADT,1,T cell,CD8 Naive,T cell_ADT
8956_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8957_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8958_ADT,1,T cell,CD8 Naive,T cell_ADT
8961_ADT,1,T cell,CD8 Naive,T cell_ADT
8962_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8963_ADT,1,T cell,MAIT,T cell_ADT
8964_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
8965_ADT,1,T cell,CD8 Effector_1,T cell_ADT
8966_ADT,1,B cell,Memory B,B cell_ADT
8968_ADT,1,Progenitor cells,HSC,Progenitor cells_ADT
8969_ADT,1,T cell,CD4 Naive,T cell_ADT
8971_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8972_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8973_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8974_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8977_ADT,1,NK,NK,NK_ADT
8978_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8981_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
8982_ADT,1,T cell,CD8 Naive,T cell_ADT
8983_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
8984_ADT,1,T cell,CD4 Memory,T cell_ADT
8989_ADT,1,T cell,CD8 Naive,T cell_ADT
8990_ADT,1,T cell,CD8 Effector_2,T cell_ADT
8992_ADT,1,T cell,CD8 Naive,T cell_ADT
8994_ADT,1,T cell,gdT,T cell_ADT
8997_ADT,1,T cell,CD8 Effector_2,T cell_ADT
9002_ADT,1,B cell,Memory B,B cell_ADT
9003_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
9005_ADT,1,T cell,CD4 Naive,T cell_ADT
9008_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9010_ADT,1,T cell,CD8 Naive,T cell_ADT
9013_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9020_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9024_ADT,1,T cell,CD8 Naive,T cell_ADT
9025_ADT,1,T cell,CD8 Effector_1,T cell_ADT
9030_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9032_ADT,1,B cell,Naive B,B cell_ADT
9033_ADT,1,NK,NK,NK_ADT
9037_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9038_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9039_ADT,1,T cell,gdT,T cell_ADT
9040_ADT,1,NK,NK,NK_ADT
9043_ADT,1,B cell,Memory B,B cell_ADT
9047_ADT,1,B cell,Naive B,B cell_ADT
9048_ADT,1,NK,NK,NK_ADT
9050_ADT,1,B cell,Memory B,B cell_ADT
9052_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9053_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9054_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9055_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
9058_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9059_ADT,1,B cell,Naive B,B cell_ADT
9062_ADT,1,T cell,CD8 Naive,T cell_ADT
9063_ADT,1,T cell,CD8 Naive,T cell_ADT
9064_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9068_ADT,1,T cell,CD4 Naive,T cell_ADT
9070_ADT,1,T cell,CD8 Naive,T cell_ADT
9072_ADT,1,NK,NK,NK_ADT
9073_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9074_ADT,1,T cell,CD4 Naive,T cell_ADT
9076_ADT,1,T cell,CD4 Naive,T cell_ADT
9079_ADT,1,B cell,Plasmablast,B cell_ADT
9080_ADT,1,T cell,CD4 Memory,T cell_ADT
9082_ADT,1,B cell,Naive B,B cell_ADT
9090_ADT,1,NK,NK,NK_ADT
9091_ADT,1,T cell,MAIT,T cell_ADT
9092_ADT,1,T cell,CD8 Naive,T cell_ADT
9093_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
9096_ADT,1,B cell,Naive B,B cell_ADT
9099_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9106_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9107_ADT,1,T cell,CD8 Naive,T cell_ADT
9108_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
9112_ADT,1,T cell,CD4 Naive,T cell_ADT
9113_ADT,1,T cell,CD4 Memory,T cell_ADT
9115_ADT,1,T cell,CD4 Memory,T cell_ADT
