Index,cell_type,cell_type_02
2610,CD4,CD4_target
2611,CD8,CD8_target
2612,Monocytes,Monocytes_target
2613,Monocytes,Monocytes_target
2614,Monocytes,Monocytes_target
2615,CD4,CD4_target
2616,Monocytes,Monocytes_target
2617,CD4,CD4_target
2618,Monocytes,Monocytes_target
2619,CD4,CD4_target
2620,CD8,CD8_target
2621,CD8,CD8_target
2622,Monocytes,Monocytes_target
2623,Monocytes,Monocytes_target
2624,CD4,CD4_target
2625,B Cells,B Cells_target
2626,CD4,CD4_target
2627,Monocytes,Monocytes_target
2628,CD8,CD8_target
2629,Monocytes,Monocytes_target
2630,Monocytes,Monocytes_target
2631,CD4,CD4_target
2632,B Cells,B Cells_target
2633,CD8,CD8_target
2634,Monocytes,Monocytes_target
2635,B Cells,B Cells_target
2636,Monocytes,Monocytes_target
2637,CD8,CD8_target
2638,B Cells,B Cells_target
2639,Monocytes,Monocytes_target
2640,B Cells,B Cells_target
2641,Dendritic Cells,Dendritic Cells_target
2642,CD4,CD4_target
2643,NK,NK_target
2644,Monocytes,Monocytes_target
2645,CD4,CD4_target
2646,Monocytes,Monocytes_target
2647,CD4,CD4_target
2648,Monocytes,Monocytes_target
2649,CD8,CD8_target
2650,NK,NK_target
2651,Monocytes,Monocytes_target
2652,CD8,CD8_target
2653,CD4,CD4_target
2654,Dendritic Cells,Dendritic Cells_target
2655,CD8,CD8_target
2656,CD4,CD4_target
2657,CD8,CD8_target
2658,Monocytes,Monocytes_target
2659,CD8,CD8_target
2660,Monocytes,Monocytes_target
2661,Monocytes,Monocytes_target
2662,CD8,CD8_target
2663,CD4,CD4_target
2664,Monocytes,Monocytes_target
2665,Monocytes,Monocytes_target
2666,B Cells,B Cells_target
2667,CD4,CD4_target
2668,MAIT,MAIT_target
2669,Monocytes,Monocytes_target
2670,B Cells,B Cells_target
2671,Monocytes,Monocytes_target
2672,CD8,CD8_target
2673,CD4,CD4_target
2674,NK,NK_target
2675,CD4,CD4_target
2676,CD8,CD8_target
2677,CD8,CD8_target
2678,CD8,CD8_target
2679,B Cells,B Cells_target
2680,CD4,CD4_target
2681,CD8,CD8_target
2682,Monocytes,Monocytes_target
2683,CD4,CD4_target
2684,CD4,CD4_target
2685,CD4,CD4_target
2686,CD4,CD4_target
2687,CD4,CD4_target
2688,Monocytes,Monocytes_target
2689,Monocytes,Monocytes_target
2690,Monocytes,Monocytes_target
2691,B Cells,B Cells_target
2692,CD8,CD8_target
2693,Monocytes,Monocytes_target
2694,Monocytes,Monocytes_target
2695,CD8,CD8_target
2696,CD4,CD4_target
2697,CD8,CD8_target
2698,MAIT,MAIT_target
2699,Monocytes,Monocytes_target
2700,Monocytes,Monocytes_target
2701,Monocytes,Monocytes_target
2702,B Cells,B Cells_target
2703,CD8,CD8_target
2704,Monocytes,Monocytes_target
2705,B Cells,B Cells_target
2706,Monocytes,Monocytes_target
2707,Monocytes,Monocytes_target
2708,CD4,CD4_target
2709,CD8,CD8_target
2710,CD4,CD4_target
2711,CD8,CD8_target
2712,CD8,CD8_target
2713,NK,NK_target
2714,CD8,CD8_target
2715,Monocytes,Monocytes_target
2716,Monocytes,Monocytes_target
2717,CD8,CD8_target
2718,CD4,CD4_target
2719,CD4,CD4_target
2720,CD4,CD4_target
2721,NK,NK_target
2722,B Cells,B Cells_target
2723,CD8,CD8_target
2724,CD4,CD4_target
2725,CD4,CD4_target
2726,Monocytes,Monocytes_target
2727,Monocytes,Monocytes_target
2728,B Cells,B Cells_target
2729,CD4,CD4_target
2730,Monocytes,Monocytes_target
2731,B Cells,B Cells_target
2732,Monocytes,Monocytes_target
2733,Monocytes,Monocytes_target
2734,Monocytes,Monocytes_target
2735,CD4,CD4_target
2736,CD4,CD4_target
2737,CD8,CD8_target
2738,CD8,CD8_target
2739,Monocytes,Monocytes_target
2740,Monocytes,Monocytes_target
2741,Monocytes,Monocytes_target
2742,B Cells,B Cells_target
2743,Dendritic Cells,Dendritic Cells_target
2744,Monocytes,Monocytes_target
2745,Monocytes,Monocytes_target
2746,CD8,CD8_target
2747,Monocytes,Monocytes_target
2748,CD8,CD8_target
2749,CD4,CD4_target
2750,CD8,CD8_target
2751,Monocytes,Monocytes_target
2752,CD8,CD8_target
2753,Monocytes,Monocytes_target
2754,CD4,CD4_target
2755,NK,NK_target
2756,CD8,CD8_target
2757,CD4,CD4_target
2758,CD8,CD8_target
2759,Monocytes,Monocytes_target
2760,MAIT,MAIT_target
2761,CD8,CD8_target
2762,NK,NK_target
2763,CD8,CD8_target
2764,CD4,CD4_target
2765,B Cells,B Cells_target
2766,CD4,CD4_target
2767,CD4,CD4_target
2768,CD8,CD8_target
2769,CD4,CD4_target
2770,CD4,CD4_target
2771,Monocytes,Monocytes_target
2772,CD8,CD8_target
2773,CD8,CD8_target
2774,Monocytes,Monocytes_target
2775,Monocytes,Monocytes_target
2776,Monocytes,Monocytes_target
2777,CD8,CD8_target
2778,Monocytes,Monocytes_target
2779,CD4,CD4_target
2780,Monocytes,Monocytes_target
2781,CD8,CD8_target
2782,Monocytes,Monocytes_target
2783,Monocytes,Monocytes_target
2784,CD4,CD4_target
2785,Monocytes,Monocytes_target
2786,CD8,CD8_target
2787,CD8,CD8_target
2788,CD4,CD4_target
2789,Monocytes,Monocytes_target
2790,Monocytes,Monocytes_target
2791,CD8,CD8_target
2792,CD4,CD4_target
2793,Monocytes,Monocytes_target
2794,Monocytes,Monocytes_target
2795,CD4,CD4_target
2796,MAIT,MAIT_target
2797,CD8,CD8_target
2798,CD4,CD4_target
2799,B Cells,B Cells_target
2800,Monocytes,Monocytes_target
2801,CD4,CD4_target
2802,CD8,CD8_target
2803,Monocytes,Monocytes_target
2804,CD8,CD8_target
2805,Monocytes,Monocytes_target
2806,CD4,CD4_target
2807,CD8,CD8_target
2808,CD4,CD4_target
2809,NK,NK_target
2810,Monocytes,Monocytes_target
2811,CD8,CD8_target
2812,CD4,CD4_target
2813,Monocytes,Monocytes_target
2814,CD8,CD8_target
2815,Monocytes,Monocytes_target
2816,CD4,CD4_target
2817,Monocytes,Monocytes_target
2818,B Cells,B Cells_target
2819,CD8,CD8_target
2820,CD8,CD8_target
2821,CD8,CD8_target
2822,CD4,CD4_target
2823,Monocytes,Monocytes_target
2824,CD8,CD8_target
2825,CD4,CD4_target
2826,CD8,CD8_target
2827,Monocytes,Monocytes_target
2828,NK,NK_target
2829,Monocytes,Monocytes_target
2830,Monocytes,Monocytes_target
2831,CD8,CD8_target
2832,CD4,CD4_target
2833,CD4,CD4_target
2834,Monocytes,Monocytes_target
2835,Monocytes,Monocytes_target
2836,CD8,CD8_target
2837,Monocytes,Monocytes_target
2838,CD4,CD4_target
2839,CD8,CD8_target
2840,NK,NK_target
2841,CD4,CD4_target
2842,Monocytes,Monocytes_target
2843,CD4,CD4_target
2844,CD4,CD4_target
2845,Monocytes,Monocytes_target
2846,Monocytes,Monocytes_target
2847,CD8,CD8_target
2848,CD8,CD8_target
2849,Monocytes,Monocytes_target
2850,CD8,CD8_target
2851,Monocytes,Monocytes_target
2852,CD4,CD4_target
2853,Monocytes,Monocytes_target
2854,B Cells,B Cells_target
2855,B Cells,B Cells_target
2856,Monocytes,Monocytes_target
2857,CD4,CD4_target
2858,CD4,CD4_target
2859,Monocytes,Monocytes_target
2860,CD8,CD8_target
2861,CD4,CD4_target
2862,CD4,CD4_target
2863,Monocytes,Monocytes_target
2864,CD8,CD8_target
2865,B Cells,B Cells_target
2866,B Cells,B Cells_target
2867,Monocytes,Monocytes_target
2868,Monocytes,Monocytes_target
2869,Monocytes,Monocytes_target
2870,CD4,CD4_target
2871,CD8,CD8_target
2872,Monocytes,Monocytes_target
2873,Monocytes,Monocytes_target
2874,CD8,CD8_target
2875,Monocytes,Monocytes_target
2876,CD8,CD8_target
2877,CD4,CD4_target
2878,Monocytes,Monocytes_target
2879,CD8,CD8_target
2880,CD8,CD8_target
2881,Monocytes,Monocytes_target
2882,Monocytes,Monocytes_target
2883,Monocytes,Monocytes_target
2884,Monocytes,Monocytes_target
2885,CD8,CD8_target
2886,Monocytes,Monocytes_target
2887,CD8,CD8_target
2888,CD4,CD4_target
2889,NK,NK_target
2890,B Cells,B Cells_target
2891,B Cells,B Cells_target
2892,CD4,CD4_target
2893,CD8,CD8_target
2894,B Cells,B Cells_target
2895,CD4,CD4_target
2896,B Cells,B Cells_target
2897,CD4,CD4_target
2898,NK,NK_target
2899,CD8,CD8_target
2900,CD8,CD8_target
2901,Monocytes,Monocytes_target
2902,Monocytes,Monocytes_target
2903,Monocytes,Monocytes_target
2904,CD4,CD4_target
2905,CD4,CD4_target
2906,Monocytes,Monocytes_target
2907,Monocytes,Monocytes_target
2908,CD8,CD8_target
2909,CD4,CD4_target
2910,B Cells,B Cells_target
2911,NK,NK_target
2912,Monocytes,Monocytes_target
2913,B Cells,B Cells_target
2914,NK,NK_target
2915,CD4,CD4_target
2916,Monocytes,Monocytes_target
2917,CD4,CD4_target
2918,CD4,CD4_target
2919,Monocytes,Monocytes_target
2920,Monocytes,Monocytes_target
2921,CD4,CD4_target
2922,Monocytes,Monocytes_target
2923,CD4,CD4_target
2924,CD4,CD4_target
2925,Monocytes,Monocytes_target
2926,CD4,CD4_target
2927,B Cells,B Cells_target
2928,CD8,CD8_target
2929,B Cells,B Cells_target
2930,CD8,CD8_target
2931,Monocytes,Monocytes_target
2932,CD8,CD8_target
2933,CD4,CD4_target
2934,CD8,CD8_target
2935,CD4,CD4_target
2936,CD8,CD8_target
2937,Monocytes,Monocytes_target
2938,Monocytes,Monocytes_target
2939,B Cells,B Cells_target
2940,CD4,CD4_target
2941,CD8,CD8_target
2942,Monocytes,Monocytes_target
2943,CD8,CD8_target
2944,CD8,CD8_target
2945,CD8,CD8_target
2946,CD4,CD4_target
2947,CD8,CD8_target
2948,Monocytes,Monocytes_target
2949,B Cells,B Cells_target
2950,Monocytes,Monocytes_target
2951,CD4,CD4_target
2952,CD8,CD8_target
2953,Monocytes,Monocytes_target
2954,CD8,CD8_target
2955,CD4,CD4_target
2956,CD8,CD8_target
2957,HSPC,HSPC_target
2958,Monocytes,Monocytes_target
2959,CD8,CD8_target
2960,NK,NK_target
2961,Monocytes,Monocytes_target
2962,CD4,CD4_target
2963,Monocytes,Monocytes_target
2964,CD4,CD4_target
2965,Monocytes,Monocytes_target
2966,Monocytes,Monocytes_target
2967,Monocytes,Monocytes_target
2968,NK,NK_target
2969,CD4,CD4_target
2970,Monocytes,Monocytes_target
2971,Monocytes,Monocytes_target
2972,Monocytes,Monocytes_target
2973,Monocytes,Monocytes_target
2974,CD8,CD8_target
2975,B Cells,B Cells_target
2976,Monocytes,Monocytes_target
2977,NK,NK_target
2978,Monocytes,Monocytes_target
2979,Monocytes,Monocytes_target
2980,CD4,CD4_target
2981,CD4,CD4_target
2982,CD8,CD8_target
2983,CD4,CD4_target
2984,CD4,CD4_target
2985,MAIT,MAIT_target
2986,CD4,CD4_target
2987,CD8,CD8_target
2988,Monocytes,Monocytes_target
2989,Monocytes,Monocytes_target
2990,NK,NK_target
2991,Monocytes,Monocytes_target
2992,Monocytes,Monocytes_target
2993,Dendritic Cells,Dendritic Cells_target
2994,B Cells,B Cells_target
2995,Monocytes,Monocytes_target
2996,CD4,CD4_target
2997,CD4,CD4_target
2998,CD4,CD4_target
2999,CD8,CD8_target
3000,CD4,CD4_target
3001,CD4,CD4_target
3002,NK,NK_target
3003,Monocytes,Monocytes_target
3004,CD4,CD4_target
3005,Monocytes,Monocytes_target
3006,Monocytes,Monocytes_target
3007,NK,NK_target
3008,Monocytes,Monocytes_target
3009,CD4,CD4_target
3010,CD4,CD4_target
3011,Monocytes,Monocytes_target
3012,CD4,CD4_target
3013,CD8,CD8_target
3014,CD8,CD8_target
3015,CD4,CD4_target
3016,Monocytes,Monocytes_target
3017,NK,NK_target
3018,CD8,CD8_target
3019,CD8,CD8_target
3020,CD8,CD8_target
3021,CD8,CD8_target
3022,CD8,CD8_target
3023,Monocytes,Monocytes_target
3024,CD4,CD4_target
3025,CD8,CD8_target
3026,Monocytes,Monocytes_target
3027,Monocytes,Monocytes_target
3028,CD8,CD8_target
3029,Monocytes,Monocytes_target
3030,Dendritic Cells,Dendritic Cells_target
3031,Monocytes,Monocytes_target
3032,CD8,CD8_target
3033,CD8,CD8_target
3034,Monocytes,Monocytes_target
3035,Dendritic Cells,Dendritic Cells_target
3036,CD4,CD4_target
3037,CD4,CD4_target
3038,CD4,CD4_target
3039,CD4,CD4_target
3040,CD4,CD4_target
3041,Monocytes,Monocytes_target
3042,Monocytes,Monocytes_target
3043,CD8,CD8_target
3044,CD4,CD4_target
3045,Monocytes,Monocytes_target
3046,CD4,CD4_target
3047,CD4,CD4_target
3048,CD8,CD8_target
3049,CD4,CD4_target
3050,CD8,CD8_target
3051,CD4,CD4_target
3052,B Cells,B Cells_target
3053,CD4,CD4_target
3054,CD8,CD8_target
3055,CD8,CD8_target
3056,CD4,CD4_target
3057,CD8,CD8_target
3058,B Cells,B Cells_target
3059,Monocytes,Monocytes_target
3060,Monocytes,Monocytes_target
3061,B Cells,B Cells_target
3062,Monocytes,Monocytes_target
3063,CD4,CD4_target
3064,CD8,CD8_target
3065,MAIT,MAIT_target
3066,CD8,CD8_target
3067,Monocytes,Monocytes_target
3068,Dendritic Cells,Dendritic Cells_target
3069,Monocytes,Monocytes_target
3070,CD4,CD4_target
3071,Monocytes,Monocytes_target
3072,CD8,CD8_target
3073,CD8,CD8_target
3074,CD4,CD4_target
3075,CD8,CD8_target
3076,Monocytes,Monocytes_target
3077,CD8,CD8_target
3078,Monocytes,Monocytes_target
3079,Monocytes,Monocytes_target
3080,MAIT,MAIT_target
3081,Monocytes,Monocytes_target
3082,CD4,CD4_target
3083,CD4,CD4_target
3084,CD4,CD4_target
3085,Monocytes,Monocytes_target
3086,CD4,CD4_target
3087,Monocytes,Monocytes_target
3088,B Cells,B Cells_target
3089,Monocytes,Monocytes_target
3090,CD4,CD4_target
3091,CD4,CD4_target
3092,CD4,CD4_target
3093,Monocytes,Monocytes_target
3094,CD4,CD4_target
3095,NK,NK_target
3096,B Cells,B Cells_target
3097,NK,NK_target
3098,B Cells,B Cells_target
3099,Monocytes,Monocytes_target
3100,Monocytes,Monocytes_target
3101,Monocytes,Monocytes_target
3102,CD4,CD4_target
3103,B Cells,B Cells_target
3104,Monocytes,Monocytes_target
3105,CD8,CD8_target
3106,Monocytes,Monocytes_target
3107,CD4,CD4_target
3108,Monocytes,Monocytes_target
3109,CD4,CD4_target
3110,Monocytes,Monocytes_target
3111,Monocytes,Monocytes_target
3112,Monocytes,Monocytes_target
3113,NK,NK_target
3114,CD4,CD4_target
3115,CD8,CD8_target
3116,B Cells,B Cells_target
3117,CD4,CD4_target
3118,CD8,CD8_target
3119,Monocytes,Monocytes_target
3120,Monocytes,Monocytes_target
3121,CD8,CD8_target
3122,CD8,CD8_target
3123,Monocytes,Monocytes_target
3124,Monocytes,Monocytes_target
3125,Monocytes,Monocytes_target
3126,CD4,CD4_target
3127,Monocytes,Monocytes_target
3128,Monocytes,Monocytes_target
3129,CD4,CD4_target
3130,Monocytes,Monocytes_target
3131,CD4,CD4_target
3132,CD8,CD8_target
3133,CD8,CD8_target
3134,CD4,CD4_target
3135,B Cells,B Cells_target
3136,B Cells,B Cells_target
3137,CD8,CD8_target
3138,CD8,CD8_target
3139,CD4,CD4_target
3140,Monocytes,Monocytes_target
3141,Dendritic Cells,Dendritic Cells_target
3142,CD8,CD8_target
3143,CD4,CD4_target
3144,CD4,CD4_target
3145,CD8,CD8_target
3146,Monocytes,Monocytes_target
3147,Monocytes,Monocytes_target
3148,B Cells,B Cells_target
3149,CD4,CD4_target
3150,Dendritic Cells,Dendritic Cells_target
3151,CD8,CD8_target
3152,CD4,CD4_target
3153,Monocytes,Monocytes_target
3154,CD8,CD8_target
3155,Monocytes,Monocytes_target
3156,Monocytes,Monocytes_target
3157,CD4,CD4_target
3158,CD4,CD4_target
3159,B Cells,B Cells_target
3160,CD8,CD8_target
3161,CD4,CD4_target
3162,CD4,CD4_target
3163,Monocytes,Monocytes_target
3164,Monocytes,Monocytes_target
3165,CD4,CD4_target
3166,CD8,CD8_target
3167,CD8,CD8_target
3168,NK,NK_target
3169,CD4,CD4_target
3170,Monocytes,Monocytes_target
3171,Dendritic Cells,Dendritic Cells_target
3172,MAIT,MAIT_target
3173,Monocytes,Monocytes_target
3174,CD8,CD8_target
3175,CD8,CD8_target
3176,CD8,CD8_target
3177,B Cells,B Cells_target
3178,CD4,CD4_target
3179,CD4,CD4_target
3180,Monocytes,Monocytes_target
3181,Monocytes,Monocytes_target
3182,CD4,CD4_target
3183,CD4,CD4_target
3184,CD8,CD8_target
3185,Monocytes,Monocytes_target
3186,Monocytes,Monocytes_target
3187,Dendritic Cells,Dendritic Cells_target
3188,CD4,CD4_target
3189,Monocytes,Monocytes_target
3190,CD8,CD8_target
3191,B Cells,B Cells_target
3192,Monocytes,Monocytes_target
3193,B Cells,B Cells_target
3194,B Cells,B Cells_target
3195,Monocytes,Monocytes_target
3196,Monocytes,Monocytes_target
3197,CD4,CD4_target
3198,NK,NK_target
3199,CD4,CD4_target
3200,CD8,CD8_target
3201,HSPC,HSPC_target
3202,CD8,CD8_target
3203,CD4,CD4_target
3204,B Cells,B Cells_target
3205,CD4,CD4_target
3206,CD4,CD4_target
3207,CD8,CD8_target
3208,Dendritic Cells,Dendritic Cells_target
3209,CD8,CD8_target
3210,Monocytes,Monocytes_target
3211,B Cells,B Cells_target
3212,Monocytes,Monocytes_target
3213,Monocytes,Monocytes_target
3214,Monocytes,Monocytes_target
3215,CD4,CD4_target
3216,Monocytes,Monocytes_target
3217,Monocytes,Monocytes_target
3218,Monocytes,Monocytes_target
3219,Monocytes,Monocytes_target
3220,Monocytes,Monocytes_target
3221,CD4,CD4_target
3222,CD8,CD8_target
3223,CD8,CD8_target
3224,B Cells,B Cells_target
3225,CD8,CD8_target
3226,CD4,CD4_target
3227,Monocytes,Monocytes_target
3228,CD8,CD8_target
3229,CD8,CD8_target
3230,CD4,CD4_target
3231,CD4,CD4_target
3232,CD8,CD8_target
3233,CD8,CD8_target
3234,CD4,CD4_target
3235,CD4,CD4_target
3236,CD4,CD4_target
3237,Monocytes,Monocytes_target
3238,Monocytes,Monocytes_target
3239,CD4,CD4_target
3240,B Cells,B Cells_target
3241,CD8,CD8_target
3242,CD8,CD8_target
3243,Monocytes,Monocytes_target
3244,Monocytes,Monocytes_target
3245,Monocytes,Monocytes_target
3246,B Cells,B Cells_target
3247,CD8,CD8_target
3248,Monocytes,Monocytes_target
3249,Monocytes,Monocytes_target
3250,NK,NK_target
3251,CD4,CD4_target
3252,Monocytes,Monocytes_target
3253,CD4,CD4_target
3254,Monocytes,Monocytes_target
3255,Dendritic Cells,Dendritic Cells_target
3256,B Cells,B Cells_target
3257,CD4,CD4_target
3258,Monocytes,Monocytes_target
3259,CD4,CD4_target
3260,CD8,CD8_target
3261,B Cells,B Cells_target
3262,CD4,CD4_target
3263,CD4,CD4_target
3264,CD4,CD4_target
3265,CD8,CD8_target
3266,CD8,CD8_target
3267,B Cells,B Cells_target
3268,NK,NK_target
3269,CD8,CD8_target
3270,NK,NK_target
3271,CD4,CD4_target
3272,Monocytes,Monocytes_target
3273,CD4,CD4_target
3274,CD8,CD8_target
3275,B Cells,B Cells_target
3276,CD4,CD4_target
3277,Monocytes,Monocytes_target
3278,B Cells,B Cells_target
3279,Dendritic Cells,Dendritic Cells_target
3280,Monocytes,Monocytes_target
3281,B Cells,B Cells_target
3282,CD8,CD8_target
3283,CD8,CD8_target
3284,CD4,CD4_target
3285,CD4,CD4_target
3286,CD4,CD4_target
3287,Monocytes,Monocytes_target
3288,Monocytes,Monocytes_target
3289,Monocytes,Monocytes_target
3290,B Cells,B Cells_target
3291,NK,NK_target
3292,B Cells,B Cells_target
3293,Monocytes,Monocytes_target
3294,CD4,CD4_target
3295,CD8,CD8_target
3296,Monocytes,Monocytes_target
3297,CD8,CD8_target
3298,CD8,CD8_target
3299,CD8,CD8_target
3300,CD4,CD4_target
3301,CD8,CD8_target
3302,NK,NK_target
3303,CD4,CD4_target
3304,CD4,CD4_target
3305,Monocytes,Monocytes_target
3306,Monocytes,Monocytes_target
3307,CD8,CD8_target
3308,CD4,CD4_target
3309,CD8,CD8_target
3310,CD8,CD8_target
3311,Monocytes,Monocytes_target
3312,CD4,CD4_target
3313,Monocytes,Monocytes_target
3314,B Cells,B Cells_target
3315,B Cells,B Cells_target
3316,CD4,CD4_target
3317,CD4,CD4_target
3318,CD4,CD4_target
3319,CD8,CD8_target
3320,CD8,CD8_target
3321,Monocytes,Monocytes_target
3322,CD8,CD8_target
3323,CD4,CD4_target
3324,Monocytes,Monocytes_target
3325,CD4,CD4_target
3326,Monocytes,Monocytes_target
3327,Monocytes,Monocytes_target
3328,Monocytes,Monocytes_target
3329,Monocytes,Monocytes_target
3330,CD8,CD8_target
3331,B Cells,B Cells_target
3332,CD4,CD4_target
3333,Monocytes,Monocytes_target
3334,CD4,CD4_target
3335,B Cells,B Cells_target
3336,Monocytes,Monocytes_target
3337,Monocytes,Monocytes_target
3338,CD4,CD4_target
3339,CD8,CD8_target
3340,CD4,CD4_target
3341,B Cells,B Cells_target
3342,Monocytes,Monocytes_target
3343,CD4,CD4_target
3344,NK,NK_target
3345,CD4,CD4_target
3346,B Cells,B Cells_target
3347,Dendritic Cells,Dendritic Cells_target
3348,Monocytes,Monocytes_target
3349,Monocytes,Monocytes_target
3350,CD8,CD8_target
3351,Monocytes,Monocytes_target
3352,Monocytes,Monocytes_target
3353,CD4,CD4_target
3354,CD4,CD4_target
3355,Monocytes,Monocytes_target
3356,CD8,CD8_target
3357,CD8,CD8_target
3358,CD8,CD8_target
3359,B Cells,B Cells_target
3360,CD8,CD8_target
3361,Monocytes,Monocytes_target
3362,Monocytes,Monocytes_target
3363,CD8,CD8_target
3364,Monocytes,Monocytes_target
3365,B Cells,B Cells_target
3366,CD8,CD8_target
3367,Monocytes,Monocytes_target
3368,Monocytes,Monocytes_target
3369,Monocytes,Monocytes_target
3370,B Cells,B Cells_target
3371,CD8,CD8_target
3372,Monocytes,Monocytes_target
3373,CD8,CD8_target
3374,CD4,CD4_target
3375,Monocytes,Monocytes_target
3376,Monocytes,Monocytes_target
3377,CD4,CD4_target
3378,CD8,CD8_target
3379,B Cells,B Cells_target
3380,CD4,CD4_target
3381,Monocytes,Monocytes_target
3382,CD8,CD8_target
3383,CD8,CD8_target
3384,CD4,CD4_target
3385,CD4,CD4_target
3386,Monocytes,Monocytes_target
3387,CD4,CD4_target
3388,NK,NK_target
3389,Monocytes,Monocytes_target
3390,B Cells,B Cells_target
3391,Monocytes,Monocytes_target
3392,CD4,CD4_target
3393,CD8,CD8_target
3394,CD4,CD4_target
3395,CD4,CD4_target
3396,B Cells,B Cells_target
3397,Monocytes,Monocytes_target
3398,Monocytes,Monocytes_target
3399,CD8,CD8_target
3400,CD4,CD4_target
3401,Monocytes,Monocytes_target
3402,Monocytes,Monocytes_target
3403,B Cells,B Cells_target
3404,Dendritic Cells,Dendritic Cells_target
3405,CD4,CD4_target
3406,CD4,CD4_target
3407,CD4,CD4_target
3408,Dendritic Cells,Dendritic Cells_target
3409,CD8,CD8_target
3410,CD4,CD4_target
3411,CD8,CD8_target
3412,Monocytes,Monocytes_target
3413,CD8,CD8_target
3414,CD8,CD8_target
3415,CD8,CD8_target
3416,Monocytes,Monocytes_target
3417,Monocytes,Monocytes_target
3418,CD4,CD4_target
3419,CD4,CD4_target
3420,CD4,CD4_target
3421,Monocytes,Monocytes_target
3422,Monocytes,Monocytes_target
3423,B Cells,B Cells_target
3424,CD4,CD4_target
3425,CD4,CD4_target
3426,Monocytes,Monocytes_target
3427,CD4,CD4_target
3428,Monocytes,Monocytes_target
3429,Monocytes,Monocytes_target
3430,B Cells,B Cells_target
3431,CD4,CD4_target
3432,Monocytes,Monocytes_target
3433,CD8,CD8_target
3434,MAIT,MAIT_target
3435,Monocytes,Monocytes_target
3436,CD4,CD4_target
3437,CD4,CD4_target
3438,CD4,CD4_target
3439,CD8,CD8_target
3440,CD4,CD4_target
3441,Monocytes,Monocytes_target
3442,CD8,CD8_target
3443,CD4,CD4_target
3444,Monocytes,Monocytes_target
3445,Dendritic Cells,Dendritic Cells_target
3446,Monocytes,Monocytes_target
3447,B Cells,B Cells_target
3448,CD8,CD8_target
3449,Monocytes,Monocytes_target
3450,CD4,CD4_target
3451,CD4,CD4_target
3452,Monocytes,Monocytes_target
3453,CD4,CD4_target
3454,CD4,CD4_target
3455,CD4,CD4_target
3456,Monocytes,Monocytes_target
3457,CD4,CD4_target
3458,CD4,CD4_target
3459,CD8,CD8_target
3460,B Cells,B Cells_target
3461,CD4,CD4_target
3462,CD4,CD4_target
3463,Monocytes,Monocytes_target
3464,CD4,CD4_target
3465,CD4,CD4_target
3466,CD4,CD4_target
3467,CD4,CD4_target
3468,MAIT,MAIT_target
3469,Monocytes,Monocytes_target
3470,CD4,CD4_target
3471,CD4,CD4_target
3472,Monocytes,Monocytes_target
3473,CD4,CD4_target
3474,CD4,CD4_target
3475,CD4,CD4_target
3476,CD8,CD8_target
3477,MAIT,MAIT_target
3478,Dendritic Cells,Dendritic Cells_target
3479,Monocytes,Monocytes_target
3480,CD4,CD4_target
3481,Monocytes,Monocytes_target
3482,CD8,CD8_target
3483,Dendritic Cells,Dendritic Cells_target
3484,B Cells,B Cells_target
3485,B Cells,B Cells_target
3486,NK,NK_target
3487,Monocytes,Monocytes_target
3488,CD4,CD4_target
3489,CD8,CD8_target
3490,B Cells,B Cells_target
3491,CD8,CD8_target
3492,Monocytes,Monocytes_target
3493,Monocytes,Monocytes_target
3494,Monocytes,Monocytes_target
3495,Monocytes,Monocytes_target
3496,Monocytes,Monocytes_target
3497,Monocytes,Monocytes_target
3498,CD4,CD4_target
3499,Monocytes,Monocytes_target
3500,CD8,CD8_target
3501,CD4,CD4_target
3502,CD4,CD4_target
3503,CD4,CD4_target
3504,B Cells,B Cells_target
3505,Monocytes,Monocytes_target
3506,NK,NK_target
3507,Monocytes,Monocytes_target
3508,CD4,CD4_target
3509,Monocytes,Monocytes_target
3510,CD8,CD8_target
3511,CD4,CD4_target
3512,Monocytes,Monocytes_target
3513,B Cells,B Cells_target
3514,CD4,CD4_target
3515,Monocytes,Monocytes_target
3516,Monocytes,Monocytes_target
3517,CD4,CD4_target
3518,CD4,CD4_target
3519,Monocytes,Monocytes_target
3520,CD4,CD4_target
3521,CD8,CD8_target
3522,CD4,CD4_target
3523,CD4,CD4_target
3524,MAIT,MAIT_target
3525,CD4,CD4_target
3526,CD8,CD8_target
3527,B Cells,B Cells_target
3528,CD8,CD8_target
3529,CD4,CD4_target
3530,CD8,CD8_target
3531,B Cells,B Cells_target
3532,Monocytes,Monocytes_target
3533,Monocytes,Monocytes_target
3534,CD4,CD4_target
3535,CD8,CD8_target
3536,CD4,CD4_target
3537,CD4,CD4_target
3538,CD8,CD8_target
3539,CD4,CD4_target
3540,CD8,CD8_target
3541,B Cells,B Cells_target
3542,CD8,CD8_target
3543,CD8,CD8_target
3544,Monocytes,Monocytes_target
3545,CD4,CD4_target
3546,CD8,CD8_target
3547,CD8,CD8_target
3548,CD4,CD4_target
3549,CD4,CD4_target
3550,Monocytes,Monocytes_target
3551,Monocytes,Monocytes_target
3552,Monocytes,Monocytes_target
3553,Monocytes,Monocytes_target
3554,Monocytes,Monocytes_target
3555,CD8,CD8_target
3556,CD4,CD4_target
3557,CD8,CD8_target
3558,CD4,CD4_target
3559,Monocytes,Monocytes_target
3560,Monocytes,Monocytes_target
3561,Monocytes,Monocytes_target
3562,Monocytes,Monocytes_target
