Index,cell_type,is_train
1516,Monocytes,1
1517,CD4,1
1518,CD4,1
1519,NK,1
1520,CD8,1
1521,Monocytes,1
1522,CD4,1
1523,CD4,1
1524,CD4,1
1525,Monocytes,1
1526,CD4,1
1527,CD8,1
1528,NK,1
1529,Monocytes,1
1530,Monocytes,1
1531,CD4,0
1532,Dendritic Cells,0
1533,CD4,1
1534,Monocytes,1
1535,Monocytes,1
1536,Monocytes,1
1537,CD8,1
1538,NK,1
1539,Monocytes,1
1540,Monocytes,1
1541,Monocytes,1
1542,Dendritic Cells,1
1543,Monocytes,0
1544,Monocytes,1
1545,CD4,1
1546,CD4,1
1547,B Cells,0
1548,CD8,1
1549,CD4,1
1550,B Cells,1
1551,CD4,1
1552,CD4,1
1553,CD4,0
1554,CD8,1
1555,CD8,1
1556,CD8,1
1557,CD4,1
1558,Dendritic Cells,1
1559,CD4,1
1560,CD4,1
1561,Monocytes,1
1562,CD4,1
1563,Monocytes,1
1564,Monocytes,1
1565,CD8,1
1566,Dendritic Cells,1
1567,CD4,1
1568,CD4,1
1569,CD4,1
1570,CD4,1
1571,B Cells,1
1572,Monocytes,0
1573,Monocytes,1
1574,CD8,1
1575,Dendritic Cells,1
1576,CD8,1
1577,B Cells,1
1578,CD4,1
1579,CD8,1
1580,CD8,1
1581,NK,1
1582,CD4,1
1583,Monocytes,1
1584,Monocytes,1
1585,CD8,1
1586,CD8,1
1587,CD4,1
1588,B Cells,1
1589,B Cells,1
1590,B Cells,1
1591,CD8,1
1592,CD4,0
1593,Monocytes,1
1594,Monocytes,1
1595,Monocytes,0
1596,Monocytes,1
1597,B Cells,1
1598,CD8,1
1599,NK,1
1600,CD4,1
1601,CD4,1
1602,Monocytes,1
1603,CD8,1
1604,NK,1
1605,CD4,1
1606,Monocytes,1
1607,CD4,1
1608,CD4,1
1609,Monocytes,1
1610,Monocytes,1
1611,CD8,1
1612,Monocytes,1
1613,CD8,1
1614,Monocytes,1
1615,CD4,0
1616,Dendritic Cells,1
1617,Monocytes,1
1618,CD4,0
1619,Monocytes,1
1620,CD8,0
1621,CD8,0
1622,CD4,1
1623,CD4,1
1624,CD4,0
1625,B Cells,1
1626,Monocytes,1
1627,Monocytes,1
1628,Monocytes,1
1629,NK,1
1630,Dendritic Cells,0
1631,CD8,1
1632,CD4,1
1633,CD4,1
1634,CD4,0
1635,B Cells,0
1636,Monocytes,1
1637,CD4,1
1638,CD4,1
1639,Monocytes,1
1640,Monocytes,1
1641,CD8,1
1642,Monocytes,0
1643,CD4,1
1644,CD4,1
1645,CD4,1
1646,Monocytes,1
1647,Dendritic Cells,1
1648,B Cells,1
1649,Monocytes,0
1650,CD8,1
1651,CD4,0
1652,NK,1
1653,Monocytes,1
1654,NK,0
1655,CD4,1
1656,MAIT,1
1657,CD4,1
1658,CD8,1
1659,MAIT,0
1660,CD8,1
1661,CD4,1
1662,CD4,0
1663,CD4,1
1664,CD4,1
1665,Monocytes,0
1666,Dendritic Cells,1
1667,Dendritic Cells,0
1668,Monocytes,0
1669,Monocytes,1
1670,Monocytes,1
1671,CD4,0
1672,CD4,1
1673,CD8,0
1674,Monocytes,1
1675,Monocytes,1
1676,CD4,1
1677,CD4,1
1678,CD8,1
1679,CD4,1
1680,Dendritic Cells,1
1681,Monocytes,1
1682,CD4,1
1683,CD4,1
1684,CD4,1
1685,B Cells,1
1686,Monocytes,0
1687,CD4,1
1688,CD8,1
1689,CD4,1
1690,CD8,1
1691,Monocytes,0
1692,Monocytes,1
1693,Monocytes,1
1694,CD8,0
1695,CD4,0
1696,Monocytes,0
1697,Monocytes,1
1698,Monocytes,1
1699,NK,1
1700,Monocytes,1
1701,Monocytes,1
1702,CD8,0
1703,Dendritic Cells,1
1704,Monocytes,1
1705,Monocytes,1
1706,Monocytes,1
1707,CD4,1
1708,CD4,1
1709,Monocytes,1
1710,B Cells,1
1711,Monocytes,1
1712,CD4,1
1713,CD4,1
1714,NK,1
1715,Dendritic Cells,1
1716,Monocytes,1
1717,CD4,1
1718,CD4,1
1719,Monocytes,1
1720,CD4,1
1721,Monocytes,1
1722,CD8,1
1723,CD4,1
1724,CD4,0
1725,CD8,1
1726,CD4,0
1727,Monocytes,1
1728,CD4,1
1729,CD8,1
1730,CD8,1
1731,Monocytes,1
1732,Monocytes,1
1733,Monocytes,1
1734,Monocytes,1
1735,CD8,1
1736,Monocytes,1
1737,Monocytes,1
1738,CD4,1
1739,CD8,0
1740,Dendritic Cells,1
1741,CD8,1
1742,B Cells,1
1743,Monocytes,1
1744,CD4,1
1745,CD4,1
1746,CD4,1
1747,CD4,1
1748,Monocytes,1
1749,Monocytes,1
1750,CD8,1
1751,B Cells,1
1752,CD4,1
1753,CD4,0
1754,MAIT,1
1755,Monocytes,0
1756,B Cells,1
1757,CD8,1
1758,CD4,1
1759,Monocytes,1
1760,CD8,1
1761,Monocytes,1
1762,Monocytes,1
1763,CD8,1
1764,CD4,1
1765,CD8,1
1766,CD8,1
1767,Monocytes,1
1768,CD8,1
1769,Monocytes,1
1770,Dendritic Cells,1
1771,B Cells,0
1772,CD8,1
1773,B Cells,0
1774,CD8,1
1775,CD4,1
1776,Monocytes,1
1777,MAIT,0
1778,CD4,1
1779,CD8,1
1780,Monocytes,1
1781,B Cells,1
1782,CD8,1
1783,Monocytes,0
1784,CD4,1
1785,CD8,1
1786,CD8,1
1787,CD8,1
1788,CD8,1
1789,Monocytes,1
1790,CD8,1
1791,CD4,1
1792,CD4,1
1793,Monocytes,1
1794,B Cells,1
1795,Dendritic Cells,1
1796,B Cells,1
1797,CD8,0
1798,CD4,1
1799,Monocytes,1
1800,CD8,1
1801,Monocytes,1
1802,CD8,1
1803,NK,1
1804,CD8,1
1805,CD8,1
1806,CD4,1
1807,Dendritic Cells,1
1808,CD4,0
1809,CD4,1
1810,CD4,1
1811,CD4,0
1812,Dendritic Cells,1
1813,MAIT,1
1814,Monocytes,1
1815,CD8,1
1816,CD4,0
1817,CD8,1
1818,B Cells,1
1819,CD4,1
1820,Monocytes,1
1821,B Cells,1
1822,Monocytes,1
1823,Monocytes,1
1824,B Cells,1
1825,CD4,1
1826,B Cells,1
1827,Monocytes,0
1828,B Cells,0
1829,Monocytes,1
1830,CD4,1
1831,CD4,1
1832,B Cells,1
1833,B Cells,1
1834,CD4,1
1835,Monocytes,1
1836,CD4,1
1837,CD8,1
1838,CD4,0
1839,CD8,0
1840,CD4,1
1841,Monocytes,1
1842,CD4,1
1843,B Cells,1
1844,CD8,1
1845,CD4,1
1846,CD4,1
1847,Monocytes,1
1848,Monocytes,1
1849,CD4,0
1850,CD4,1
1851,Monocytes,1
1852,CD4,1
1853,Monocytes,1
1854,CD8,1
1855,MAIT,0
1856,CD8,1
1857,Dendritic Cells,1
1858,CD4,1
1859,CD4,1
1860,CD4,1
1861,Monocytes,1
1862,Monocytes,0
1863,Monocytes,1
1864,CD4,1
1865,Monocytes,1
1866,Monocytes,1
1867,CD4,1
1868,Monocytes,1
1869,CD4,1
1870,CD4,1
1871,B Cells,1
1872,Monocytes,1
1873,CD4,1
1874,Monocytes,1
1875,Monocytes,1
1876,CD4,1
1877,Monocytes,1
1878,CD4,1
1879,CD8,1
1880,CD4,0
1881,Monocytes,1
1882,CD8,1
1883,Monocytes,1
1884,CD4,1
1885,CD4,1
1886,CD8,0
1887,Dendritic Cells,1
1888,Monocytes,0
1889,Monocytes,0
1890,CD8,1
1891,B Cells,0
1892,Monocytes,1
1893,CD4,1
1894,CD4,1
1895,CD8,1
1896,CD4,1
1897,CD4,1
1898,CD8,1
1899,B Cells,1
1900,Monocytes,1
1901,B Cells,1
1902,Monocytes,1
1903,CD8,1
1904,B Cells,0
1905,CD8,1
1906,CD8,1
1907,Monocytes,1
1908,CD4,0
1909,CD8,0
1910,Monocytes,1
1911,B Cells,1
1912,Monocytes,0
1913,Monocytes,1
1914,NK,1
1915,CD8,1
1916,Monocytes,0
1917,B Cells,0
1918,B Cells,1
1919,CD8,1
1920,Monocytes,1
1921,CD4,0
1922,CD4,1
1923,CD4,0
1924,Monocytes,1
1925,CD8,1
1926,Dendritic Cells,1
1927,Monocytes,1
1928,CD4,1
1929,Monocytes,1
1930,Monocytes,1
1931,CD8,1
1932,CD4,1
1933,CD8,0
1934,Monocytes,0
1935,CD4,1
1936,Monocytes,1
1937,Monocytes,1
1938,CD8,1
1939,Monocytes,1
1940,Monocytes,0
1941,Monocytes,1
1942,CD8,1
1943,Dendritic Cells,1
1944,CD8,0
1945,Monocytes,1
1946,CD8,1
1947,Monocytes,1
1948,Monocytes,1
1949,NK,1
1950,CD4,1
1951,CD8,1
1952,CD4,1
1953,Monocytes,1
1954,Monocytes,1
1955,CD4,1
1956,CD8,1
1957,CD8,1
1958,CD8,0
1959,CD4,0
1960,CD4,1
1961,B Cells,1
1962,B Cells,1
1963,NK,1
1964,CD4,1
1965,CD8,1
1966,CD8,1
1967,Monocytes,1
1968,CD4,1
1969,CD8,1
1970,CD4,1
1971,Monocytes,1
1972,CD4,1
1973,CD8,0
1974,B Cells,1
1975,CD8,1
1976,CD8,1
1977,Monocytes,1
1978,Monocytes,1
1979,CD8,0
1980,CD8,1
1981,CD4,0
1982,Monocytes,1
1983,CD4,0
1984,MAIT,1
1985,CD8,1
1986,CD4,1
1987,CD8,1
1988,CD8,1
1989,Monocytes,1
1990,Monocytes,1
1991,Monocytes,1
1992,B Cells,0
1993,CD4,1
1994,Monocytes,1
1995,B Cells,0
1996,Monocytes,1
1997,Dendritic Cells,1
1998,CD8,1
1999,CD4,1
2000,Monocytes,1
2001,CD8,1
2002,B Cells,1
2003,CD8,1
2004,NK,1
2005,CD4,1
2006,Monocytes,1
2007,CD4,1
2008,CD4,1
2009,CD8,1
2010,CD4,1
2011,B Cells,1
2012,Monocytes,1
2013,Monocytes,0
2014,Monocytes,1
2015,Monocytes,1
2016,B Cells,1
2017,Monocytes,0
2018,Monocytes,1
2019,CD4,1
2020,Dendritic Cells,1
2021,CD4,1
2022,CD8,1
2023,Monocytes,1
2024,Dendritic Cells,1
2025,B Cells,1
2026,B Cells,1
2027,B Cells,1
2028,Monocytes,1
2029,CD4,1
2030,CD4,1
2031,MAIT,1
2032,CD4,1
2033,CD4,1
2034,CD8,1
2035,Dendritic Cells,1
2036,Monocytes,1
2037,CD8,1
2038,Monocytes,1
2039,Monocytes,1
2040,CD4,1
2041,B Cells,0
2042,Monocytes,1
2043,CD4,1
2044,Monocytes,0
2045,CD8,1
2046,CD4,1
2047,CD4,1
2048,CD4,0
2049,CD4,1
2050,Monocytes,1
2051,CD4,1
2052,Monocytes,1
2053,CD4,1
2054,CD8,0
2055,CD4,1
2056,CD4,1
2057,CD4,0
2058,NK,1
2059,CD4,0
2060,CD8,1
2061,CD4,0
2062,Monocytes,0
2063,CD8,1
2064,CD8,1
2065,B Cells,1
2066,CD4,1
2067,Monocytes,1
2068,CD8,1
2069,B Cells,1
2070,NK,1
2071,CD4,1
2072,NK,1
2073,CD4,1
2074,CD4,1
2075,CD4,0
2076,Dendritic Cells,0
2077,CD4,1
2078,CD4,1
2079,Monocytes,1
2080,CD8,1
2081,B Cells,1
2082,CD8,0
2083,Monocytes,1
2084,CD4,1
2085,CD4,1
2086,CD4,1
2087,CD4,1
2088,CD4,1
2089,Monocytes,1
2090,NK,1
2091,B Cells,1
2092,CD4,1
2093,NK,0
2094,NK,1
2095,CD8,1
2096,Monocytes,0
2097,CD8,1
2098,CD4,0
2099,Monocytes,0
2100,Monocytes,1
2101,CD4,0
2102,CD4,1
2103,Monocytes,1
2104,Monocytes,1
2105,Monocytes,1
2106,Monocytes,1
2107,CD4,1
2108,CD4,0
2109,NK,1
2110,Monocytes,1
2111,CD8,0
2112,Monocytes,0
2113,Monocytes,0
2114,CD8,1
2115,NK,1
2116,CD8,1
2117,Monocytes,1
2118,CD8,1
2119,Monocytes,1
2120,Monocytes,1
2121,CD4,1
2122,Monocytes,1
2123,CD8,1
2124,Monocytes,1
2125,Monocytes,1
2126,Monocytes,0
2127,CD4,1
2128,MAIT,0
2129,CD4,1
2130,Monocytes,0
2131,CD4,1
2132,Monocytes,0
2133,CD4,0
2134,Monocytes,1
2135,CD8,0
2136,Monocytes,0
2137,Monocytes,0
2138,NK,1
2139,Monocytes,1
2140,CD4,1
2141,Monocytes,1
2142,CD4,1
2143,Monocytes,1
2144,CD4,1
2145,B Cells,1
2146,CD4,1
2147,CD4,1
2148,CD8,1
2149,Monocytes,0
2150,CD4,0
2151,CD4,1
2152,CD8,1
2153,CD4,1
2154,CD4,1
2155,CD8,0
2156,CD4,1
2157,B Cells,1
2158,Monocytes,0
2159,Monocytes,1
2160,Monocytes,1
2161,Monocytes,0
2162,CD8,1
2163,Monocytes,1
2164,CD4,1
2165,Monocytes,1
2166,CD8,1
2167,Monocytes,1
2168,CD4,1
2169,CD8,1
2170,CD8,1
2171,CD4,1
2172,NK,1
2173,NK,1
2174,CD4,0
2175,CD8,1
2176,CD8,1
2177,CD8,1
2178,CD4,1
2179,CD8,1
2180,Monocytes,1
2181,CD8,1
2182,Monocytes,1
2183,Monocytes,0
2184,CD8,1
2185,CD8,1
2186,CD4,1
2187,CD4,1
2188,CD4,1
2189,CD8,1
2190,B Cells,1
2191,CD4,1
2192,CD4,1
2193,CD4,1
2194,Dendritic Cells,1
2195,CD4,1
2196,MAIT,1
2197,Monocytes,1
2198,Monocytes,1
2199,CD8,1
2200,CD4,1
2201,CD4,0
2202,CD4,1
2203,Monocytes,0
2204,CD4,0
2205,Monocytes,1
2206,MAIT,1
2207,Monocytes,1
2208,CD8,1
2209,CD4,1
2210,CD4,1
2211,CD4,1
2212,CD8,0
2213,CD4,0
2214,NK,0
2215,B Cells,0
2216,Monocytes,1
2217,Monocytes,1
2218,Monocytes,1
2219,CD4,1
2220,CD8,1
2221,B Cells,1
2222,Monocytes,1
2223,B Cells,1
2224,CD4,1
2225,Dendritic Cells,0
2226,Monocytes,0
2227,B Cells,1
2228,CD4,1
2229,Monocytes,1
2230,Monocytes,1
2231,CD8,1
2232,NK,1
2233,CD4,1
2234,CD8,1
2235,CD4,1
2236,B Cells,1
2237,Monocytes,1
2238,Dendritic Cells,0
2239,Monocytes,1
2240,CD4,1
2241,CD4,1
2242,CD4,1
2243,NK,1
2244,CD8,0
2245,CD8,1
2246,CD4,1
2247,B Cells,1
2248,CD8,1
2249,CD4,1
2250,Monocytes,0
2251,Monocytes,1
2252,Monocytes,1
2253,Monocytes,1
2254,CD4,1
2255,Monocytes,1
2256,Monocytes,1
2257,Monocytes,1
2258,NK,1
2259,CD4,1
2260,Monocytes,1
2261,CD8,1
2262,CD8,0
2263,CD4,0
2264,CD4,1
2265,CD8,1
2266,CD8,1
2267,CD4,1
2268,Monocytes,1
2269,Monocytes,1
2270,B Cells,1
2271,Monocytes,1
2272,CD8,1
2273,CD4,1
2274,Monocytes,1
2275,Monocytes,1
2276,CD4,1
2277,CD4,1
2278,CD8,1
2279,CD8,1
2280,CD8,1
2281,CD4,0
2282,Monocytes,1
2283,B Cells,1
2284,CD8,1
2285,CD8,1
2286,Monocytes,1
2287,Monocytes,1
2288,Monocytes,1
2289,CD8,1
2290,CD8,0
2291,CD4,1
2292,CD4,1
2293,Monocytes,1
2294,B Cells,1
2295,Monocytes,1
2296,CD8,1
2297,CD4,1
2298,Dendritic Cells,1
2299,Monocytes,1
2300,Monocytes,0
2301,Monocytes,1
2302,CD8,1
2303,CD8,1
2304,Monocytes,0
2305,CD4,1
2306,Monocytes,1
2307,CD4,1
2308,Monocytes,1
2309,CD8,0
2310,Monocytes,1
2311,CD8,1
2312,Monocytes,1
2313,Monocytes,1
2314,Monocytes,1
2315,Dendritic Cells,1
2316,B Cells,1
2317,CD4,0
2318,B Cells,1
2319,Monocytes,1
2320,CD8,1
2321,MAIT,1
2322,CD8,1
2323,CD8,1
2324,CD8,1
2325,NK,1
2326,CD4,1
2327,Dendritic Cells,1
2328,Monocytes,1
2329,MAIT,0
2330,CD4,1
2331,B Cells,0
2332,Monocytes,0
2333,Monocytes,1
2334,Monocytes,1
2335,CD4,1
2336,Monocytes,0
2337,B Cells,1
2338,CD4,0
2339,MAIT,1
2340,CD4,1
2341,CD4,1
2342,B Cells,1
2343,Monocytes,1
2344,CD4,1
2345,B Cells,1
2346,CD4,1
2347,CD8,1
2348,CD4,1
2349,Monocytes,1
2350,NK,1
2351,Dendritic Cells,1
2352,CD4,0
2353,CD8,1
2354,CD4,1
2355,Monocytes,1
2356,Monocytes,1
2357,Monocytes,1
2358,CD8,1
2359,CD8,0
2360,CD8,0
2361,B Cells,1
2362,CD4,0
2363,CD4,1
2364,CD4,1
2365,B Cells,1
2366,Monocytes,1
2367,NK,1
2368,CD8,0
2369,B Cells,0
2370,Monocytes,0
2371,Monocytes,1
2372,CD4,1
2373,CD8,1
2374,Monocytes,1
2375,Monocytes,1
2376,CD4,1
2377,Monocytes,1
2378,CD4,1
2379,CD8,1
2380,Monocytes,1
2381,B Cells,1
2382,Monocytes,0
2383,CD8,0
2384,CD8,1
2385,CD4,1
2386,CD8,1
2387,CD8,1
2388,Monocytes,1
2389,Monocytes,1
2390,CD4,0
2391,CD8,0
2392,CD4,1
2393,MAIT,1
2394,Monocytes,1
2395,CD4,1
2396,Monocytes,0
2397,CD4,1
2398,Monocytes,1
2399,CD8,1
2400,CD8,1
2401,Monocytes,1
2402,CD4,1
2403,Monocytes,1
2404,CD4,1
2405,Monocytes,1
2406,Monocytes,0
2407,Monocytes,1
2408,CD8,1
2409,CD4,0
2410,Monocytes,1
2411,Monocytes,1
2412,CD4,0
2413,CD8,0
2414,Monocytes,0
2415,NK,0
2416,Monocytes,1
2417,CD8,0
2418,Monocytes,1
2419,CD4,0
2420,B Cells,1
2421,CD4,1
2422,CD8,1
2423,CD8,0
2424,CD4,1
2425,B Cells,1
2426,NK,1
2427,Monocytes,1
2428,B Cells,1
2429,Monocytes,0
2430,CD8,1
2431,B Cells,0
2432,CD8,1
2433,CD8,1
2434,CD8,1
2435,CD8,1
2436,CD4,1
2437,Monocytes,1
2438,CD4,1
2439,CD4,1
2440,Dendritic Cells,1
2441,B Cells,0
2442,B Cells,1
2443,CD4,1
2444,B Cells,0
2445,CD8,0
2446,CD8,1
2447,CD4,1
2448,CD4,1
2449,CD4,1
2450,Monocytes,1
2451,Monocytes,0
2452,B Cells,1
2453,CD4,0
2454,CD8,1
2455,CD8,1
2456,CD4,1
2457,CD8,1
2458,CD4,1
2459,B Cells,1
2460,MAIT,0
2461,Monocytes,1
2462,Monocytes,1
2463,CD4,1
2464,CD4,0
2465,Monocytes,1
2466,CD8,1
2467,Monocytes,1
2468,CD8,1
2469,Monocytes,0
2470,Monocytes,1
2471,Monocytes,1
2472,Monocytes,0
2473,CD8,1
2474,Monocytes,1
2475,Monocytes,1
2476,Monocytes,0
2477,B Cells,1
2478,CD8,1
2479,CD8,1
2480,Monocytes,1
2481,B Cells,1
2482,CD8,1
2483,CD8,1
2484,Monocytes,0
2485,Monocytes,1
2486,CD8,1
2487,CD8,1
2488,B Cells,0
2489,Monocytes,0
2490,Monocytes,1
2491,CD8,1
2492,CD4,0
2493,CD4,1
2494,Dendritic Cells,1
2495,CD8,1
2496,CD8,1
2497,CD8,1
2498,Monocytes,1
2499,B Cells,1
2500,NK,0
2501,CD8,0
2502,CD4,0
2503,CD4,1
2504,CD8,1
2505,CD4,1
2506,Monocytes,1
2507,CD8,1
2508,CD4,1
2509,Monocytes,1
2510,CD4,1
2511,NK,1
2512,CD4,1
2513,CD8,1
2514,Monocytes,1
2515,Monocytes,0
2516,Monocytes,1
2517,Monocytes,0
2518,NK,0
2519,CD8,1
2520,Monocytes,1
2521,CD4,0
2522,CD4,1
2523,Monocytes,1
2524,CD4,1
2525,NK,1
2526,Monocytes,1
2527,Monocytes,1
2528,CD8,1
2529,CD4,1
2530,CD8,1
2531,B Cells,1
2532,CD8,1
2533,CD8,1
2534,Monocytes,1
2535,CD8,1
2536,CD8,1
2537,CD4,1
2538,Monocytes,1
2539,B Cells,1
2540,CD4,1
2541,NK,0
2542,CD4,1
2543,Monocytes,1
2544,CD4,1
2545,CD4,1
2546,CD4,1
2547,CD4,1
2548,CD4,1
2549,CD4,1
2550,CD4,0
2551,B Cells,1
2552,CD4,1
2553,Monocytes,1
2554,Monocytes,1
2555,CD4,0
2556,CD4,1
2557,B Cells,0
2558,Dendritic Cells,1
2559,Monocytes,1
2560,CD4,1
2561,CD8,1
2562,Monocytes,0
2563,Monocytes,1
2564,CD4,1
2565,B Cells,1
2566,B Cells,1
2567,CD8,1
2568,Monocytes,1
2569,Monocytes,1
2570,CD4,1
2571,B Cells,1
2572,CD8,1
2573,Monocytes,1
2574,CD8,1
2575,CD8,1
2576,CD4,1
2577,CD4,1
2578,Monocytes,0
2579,CD4,1
2580,CD4,0
2581,Monocytes,1
2582,B Cells,1
2583,CD8,1
2584,CD8,1
2585,CD4,0
2586,CD8,1
2587,CD4,0
2588,Monocytes,1
2589,Monocytes,1
2590,CD8,1
2591,Monocytes,1
2592,CD4,1
2593,CD8,1
2594,CD4,1
2595,CD4,1
2596,Monocytes,1
2597,CD8,1
2598,Dendritic Cells,1
2599,Dendritic Cells,1
2600,Monocytes,1
2601,B Cells,1
2602,Monocytes,1
2603,Monocytes,0
2604,MAIT,1
2605,CD4,1
2606,NK,1
2607,CD4,0
2608,Monocytes,1
2609,CD4,1
2610,CD4,1
2611,CD8,1
2612,Monocytes,0
2613,Monocytes,1
2614,Monocytes,1
2615,CD4,1
2616,Monocytes,1
2617,CD4,1
2618,Monocytes,0
2619,CD4,1
2620,CD8,0
2621,CD8,1
2622,Monocytes,1
2623,Monocytes,1
2624,CD4,1
2625,B Cells,1
2626,CD4,1
2627,Monocytes,1
2628,CD8,1
2629,Monocytes,1
2630,Monocytes,1
2631,CD4,1
2632,B Cells,1
2633,CD8,1
2634,Monocytes,1
2635,B Cells,1
2636,Monocytes,1
2637,CD8,0
2638,B Cells,1
2639,Monocytes,1
2640,B Cells,1
2641,Dendritic Cells,1
2642,CD4,1
2643,NK,0
2644,Monocytes,0
2645,CD4,1
2646,Monocytes,0
2647,CD4,1
2648,Monocytes,1
2649,CD8,0
2650,NK,1
2651,Monocytes,1
2652,CD8,1
2653,CD4,1
2654,Dendritic Cells,0
2655,CD8,1
2656,CD4,1
2657,CD8,1
2658,Monocytes,1
2659,CD8,1
2660,Monocytes,1
2661,Monocytes,1
2662,CD8,1
2663,CD4,1
2664,Monocytes,1
2665,Monocytes,0
2666,B Cells,1
2667,CD4,1
2668,MAIT,1
2669,Monocytes,1
2670,B Cells,0
2671,Monocytes,1
2672,CD8,1
2673,CD4,1
2674,NK,0
2675,CD4,0
2676,CD8,1
2677,CD8,1
2678,CD8,1
2679,B Cells,1
2680,CD4,1
2681,CD8,1
2682,Monocytes,1
2683,CD4,1
2684,CD4,1
2685,CD4,0
2686,CD4,0
2687,CD4,1
2688,Monocytes,1
2689,Monocytes,0
2690,Monocytes,1
2691,B Cells,1
2692,CD8,1
2693,Monocytes,1
2694,Monocytes,0
2695,CD8,1
2696,CD4,1
2697,CD8,1
2698,MAIT,1
2699,Monocytes,1
2700,Monocytes,1
2701,Monocytes,0
2702,B Cells,1
2703,CD8,1
2704,Monocytes,1
2705,B Cells,1
2706,Monocytes,1
2707,Monocytes,0
2708,CD4,1
2709,CD8,1
2710,CD4,1
2711,CD8,1
2712,CD8,1
2713,NK,0
2714,CD8,1
2715,Monocytes,1
2716,Monocytes,1
2717,CD8,1
2718,CD4,1
2719,CD4,1
2720,CD4,1
2721,NK,0
2722,B Cells,0
2723,CD8,0
2724,CD4,1
2725,CD4,1
2726,Monocytes,1
2727,Monocytes,1
2728,B Cells,1
2729,CD4,1
2730,Monocytes,1
2731,B Cells,1
2732,Monocytes,1
2733,Monocytes,0
2734,Monocytes,1
2735,CD4,1
2736,CD4,1
2737,CD8,1
2738,CD8,0
2739,Monocytes,1
2740,Monocytes,1
2741,Monocytes,1
2742,B Cells,1
2743,Dendritic Cells,0
2744,Monocytes,1
2745,Monocytes,1
2746,CD8,1
2747,Monocytes,1
2748,CD8,1
2749,CD4,1
2750,CD8,1
2751,Monocytes,0
2752,CD8,0
2753,Monocytes,1
2754,CD4,1
2755,NK,1
2756,CD8,1
2757,CD4,0
2758,CD8,1
2759,Monocytes,1
2760,MAIT,1
2761,CD8,0
2762,NK,1
2763,CD8,1
2764,CD4,1
2765,B Cells,1
2766,CD4,0
2767,CD4,1
2768,CD8,1
2769,CD4,1
2770,CD4,0
2771,Monocytes,1
2772,CD8,1
2773,CD8,1
2774,Monocytes,0
2775,Monocytes,1
2776,Monocytes,1
2777,CD8,1
2778,Monocytes,1
2779,CD4,1
2780,Monocytes,0
2781,CD8,1
2782,Monocytes,0
2783,Monocytes,1
2784,CD4,1
2785,Monocytes,1
2786,CD8,1
2787,CD8,0
2788,CD4,1
2789,Monocytes,1
2790,Monocytes,0
2791,CD8,0
2792,CD4,1
2793,Monocytes,1
2794,Monocytes,1
2795,CD4,0
2796,MAIT,1
2797,CD8,1
2798,CD4,1
2799,B Cells,1
2800,Monocytes,1
2801,CD4,1
2802,CD8,1
2803,Monocytes,1
2804,CD8,1
2805,Monocytes,1
2806,CD4,1
2807,CD8,1
2808,CD4,1
2809,NK,1
2810,Monocytes,1
2811,CD8,0
2812,CD4,1
2813,Monocytes,1
2814,CD8,1
2815,Monocytes,1
2816,CD4,1
2817,Monocytes,1
2818,B Cells,1
2819,CD8,1
2820,CD8,1
2821,CD8,1
2822,CD4,0
2823,Monocytes,0
2824,CD8,0
2825,CD4,1
2826,CD8,0
2827,Monocytes,1
2828,NK,1
2829,Monocytes,1
2830,Monocytes,1
2831,CD8,1
2832,CD4,0
2833,CD4,0
2834,Monocytes,1
2835,Monocytes,1
2836,CD8,1
2837,Monocytes,1
2838,CD4,1
2839,CD8,0
2840,NK,1
2841,CD4,0
2842,Monocytes,1
2843,CD4,1
2844,CD4,0
2845,Monocytes,0
2846,Monocytes,1
2847,CD8,1
2848,CD8,1
2849,Monocytes,0
2850,CD8,1
2851,Monocytes,1
2852,CD4,1
2853,Monocytes,1
2854,B Cells,1
2855,B Cells,1
2856,Monocytes,1
2857,CD4,0
2858,CD4,1
2859,Monocytes,1
2860,CD8,1
2861,CD4,1
2862,CD4,1
2863,Monocytes,1
2864,CD8,1
2865,B Cells,1
2866,B Cells,1
2867,Monocytes,1
2868,Monocytes,1
2869,Monocytes,1
2870,CD4,1
2871,CD8,1
2872,Monocytes,0
2873,Monocytes,1
2874,CD8,1
2875,Monocytes,1
2876,CD8,1
2877,CD4,1
2878,Monocytes,0
2879,CD8,0
2880,CD8,1
2881,Monocytes,1
2882,Monocytes,1
2883,Monocytes,1
2884,Monocytes,1
2885,CD8,1
2886,Monocytes,1
2887,CD8,1
2888,CD4,1
2889,NK,0
2890,B Cells,1
2891,B Cells,1
2892,CD4,1
2893,CD8,1
2894,B Cells,1
2895,CD4,1
2896,B Cells,1
2897,CD4,1
2898,NK,1
2899,CD8,0
2900,CD8,0
2901,Monocytes,1
2902,Monocytes,1
2903,Monocytes,1
2904,CD4,1
2905,CD4,1
2906,Monocytes,1
2907,Monocytes,0
2908,CD8,1
2909,CD4,0
2910,B Cells,0
2911,NK,1
2912,Monocytes,1
2913,B Cells,1
2914,NK,1
2915,CD4,1
2916,Monocytes,1
2917,CD4,1
2918,CD4,1
2919,Monocytes,1
2920,Monocytes,1
2921,CD4,1
2922,Monocytes,0
2923,CD4,1
2924,CD4,1
2925,Monocytes,0
2926,CD4,1
2927,B Cells,1
2928,CD8,1
2929,B Cells,1
2930,CD8,1
2931,Monocytes,0
2932,CD8,1
2933,CD4,1
2934,CD8,1
2935,CD4,1
